epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.280320,0.335036,0.400572,0.447642,0.095920,6.000e-05,25.43,1.000000,0.700286
2,0.153518,0.349917,0.433659,0.496403,0.096601,5.960e-05,25.31,0.833333,0.633496
3,0.114021,0.308465,0.387532,0.367706,0.064563,5.920e-05,25.12,0.333333,0.360432
4,0.081581,0.353470,0.431660,0.446843,0.075957,5.880e-05,25.27,1.000000,0.715830
5,0.076101,0.346888,0.446246,0.418066,0.055507,5.840e-05,25.24,0.500000,0.473123
6,0.060219,0.412567,0.342138,0.326139,0.070698,5.800e-05,25.12,0.833333,0.587736
7,0.056019,0.401109,0.446293,0.493205,0.087350,5.760e-05,25.32,0.833333,0.639813
8,0.045457,0.464593,0.417046,0.512390,0.115104,5.720e-05,25.29,0.500000,0.458523
9,0.041628,0.469563,0.488394,0.613909,0.109650,5.680e-05,25.32,1.000000,0.744197
10,0.035041,0.457673,0.460104,0.532374,0.095238,5.640e-05,25.28,0.666667,0.563385
11,0.030015,0.440094,0.424971,0.438050,0.075957,5.600e-05,25.24,0.666667,0.545819
12,0.032740,0.578920,0.417892,0.545164,0.129613,5.560e-05,25.09,0.333333,0.375613
13,0.026822,0.470169,0.374749,0.372502,0.074983,5.520e-05,25.30,1.000000,0.687374
14,0.023112,0.489014,0.366300,0.359712,0.073620,5.480e-05,25.15,0.500000,0.433150
15,0.019827,0.501666,0.407297,0.437250,0.086474,5.440e-05,25.79,0.500000,0.453649
16,0.024628,0.484647,0.395062,0.434852,0.093388,5.400e-05,25.62,0.833333,0.614198
17,0.020575,0.550140,0.399603,0.482814,0.113740,5.360e-05,25.27,1.000000,0.699802
18,0.019127,0.483614,0.430183,0.442046,0.074691,5.320e-05,25.39,0.500000,0.465091
19,0.016652,0.520766,0.400000,0.356515,0.051904,5.280e-05,25.18,0.666667,0.533333
20,0.015186,0.532180,0.239537,0.215028,0.070698,5.240e-05,25.46,0.333333,0.286435
21,0.015323,0.484127,0.391830,0.375699,0.066024,5.200e-05,25.58,0.500000,0.445915
22,0.010835,0.544462,0.365611,0.322942,0.054046,5.160e-05,25.36,0.500000,0.432805
23,0.011389,0.521969,0.487841,0.529177,0.078002,5.120e-05,25.34,0.666667,0.577254
24,0.009448,0.621824,0.364005,0.358913,0.074691,5.080e-05,25.39,0.333333,0.348669
