epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.310778,1.198676,0.303970,0.716374,0.403861,3.000e-04,25.42,1.000000,0.651985
2,0.274101,0.348039,0.481769,0.589181,0.115445,2.980e-04,23.85,0.666667,0.574218
3,0.222133,0.385662,0.225210,0.195906,0.073286,2.960e-04,24.17,0.833333,0.529272
4,0.198044,0.642044,0.258438,0.391813,0.221040,2.940e-04,24.55,1.000000,0.629219
5,0.168833,0.324986,0.434377,0.476608,0.096730,2.920e-04,24.22,0.333333,0.383855
6,0.144821,0.428114,0.241630,0.242690,0.103231,2.900e-04,23.97,0.166667,0.204148
7,0.147373,0.280262,0.475600,0.448830,0.059102,2.880e-04,23.70,0.833333,0.654467
8,0.123631,0.273642,0.536932,0.552632,0.068164,2.860e-04,23.85,1.000000,0.768466
9,0.129254,0.378119,0.396040,0.409357,0.088652,2.840e-04,23.56,1.000000,0.698020
10,0.099316,0.341603,0.318519,0.251462,0.044129,2.820e-04,23.80,0.666667,0.492593
11,0.097212,0.312783,0.345091,0.264620,0.036249,2.800e-04,23.65,1.000000,0.672545
12,0.091328,0.388839,0.263889,0.166667,0.013002,2.780e-04,23.68,0.500000,0.381944
13,0.095160,0.339666,0.315044,0.260234,0.052797,2.760e-04,23.55,0.833333,0.574189
14,0.067954,0.332634,0.301887,0.210526,0.024823,2.740e-04,23.77,0.166667,0.234277
15,0.057328,0.350285,0.364651,0.286550,0.038416,2.720e-04,23.55,1.000000,0.682326
16,0.050841,0.329903,0.392394,0.331871,0.048463,2.700e-04,23.80,0.833333,0.612864
17,0.047108,0.314081,0.428322,0.358187,0.042356,2.680e-04,23.78,1.000000,0.714161
18,0.048926,0.386995,0.320902,0.270468,0.055950,2.660e-04,23.64,0.500000,0.410451
19,0.058707,0.391895,0.401347,0.435673,0.099094,2.640e-04,23.59,0.833333,0.617340
20,0.040112,0.363928,0.386973,0.295322,0.031127,2.620e-04,23.71,0.166667,0.276820
21,0.056902,0.369827,0.425844,0.423977,0.076438,2.600e-04,23.69,0.833333,0.629589
22,0.046948,0.401513,0.420601,0.501462,0.118991,2.580e-04,23.81,0.833333,0.626967
23,0.038569,0.495862,0.310067,0.337719,0.113278,2.560e-04,23.77,0.833333,0.571700
