seed,world,view,idx,hazard,fam,n_floor,n_tau,max_conf,any_box,hit_wedge,center_wedge,hit_full,cell_hit,n_claimed,n_gt_cells
44,gz_drop2,preset_h0.3_d10,000,1,negobs,10,0,0.09147,0,0,0,0,0,0,5
44,gz_drop2,preset_h0.3_d10,001,1,negobs,10,0,0.09147,0,0,0,0,0,0,5
44,gz_drop2,preset_h0.3_d10,002,1,negobs,10,0,0.09147,0,0,0,0,0,0,5
44,gz_drop2,preset_h0.3_d2,000,1,negobs,3,0,0.06822,0,0,0,0,0,0,15
44,gz_drop2,preset_h0.3_d2,001,1,negobs,3,0,0.06822,0,0,0,0,0,0,15
44,gz_drop2,preset_h0.3_d2,002,1,negobs,3,0,0.06822,0,0,0,0,0,0,15
44,gz_drop2,preset_h0.3_d5,000,1,negobs,19,0,0.11272,0,0,0,0,0,0,10
44,gz_drop2,preset_h0.3_d5,001,1,negobs,19,0,0.11272,0,0,0,0,0,0,10
44,gz_drop2,preset_h0.3_d5,002,1,negobs,19,0,0.11272,0,0,0,0,0,0,10
44,gz_drop2,preset_h0.9_d10,000,1,negobs,12,0,0.23038,0,0,0,0,0,0,5
44,gz_drop2,preset_h0.9_d10,001,1,negobs,12,0,0.23038,0,0,0,0,0,0,5
44,gz_drop2,preset_h0.9_d10,002,1,negobs,12,0,0.23038,0,0,0,0,0,0,5
44,gz_drop2,preset_h0.9_d2,000,1,negobs,2,0,0.12559,0,0,0,0,0,0,15
44,gz_drop2,preset_h0.9_d2,001,1,negobs,2,0,0.12559,0,0,0,0,0,0,15
44,gz_drop2,preset_h0.9_d2,002,1,negobs,2,0,0.12559,0,0,0,0,0,0,15
44,gz_drop2,preset_h0.9_d5,000,1,negobs,8,0,0.10407,0,0,0,0,0,0,10
44,gz_drop2,preset_h0.9_d5,001,1,negobs,8,0,0.10407,0,0,0,0,0,0,10
44,gz_drop2,preset_h0.9_d5,002,1,negobs,8,0,0.10407,0,0,0,0,0,0,10
44,gz_drop2,rs_h0.125_d2,000,1,rs,39,0,0.12625,0,0,0,0,0,0,15
44,gz_drop2,rs_h0.125_d2,001,1,rs,39,0,0.12625,0,0,0,0,0,0,15
44,gz_drop2,rs_h0.125_d2,002,1,rs,39,0,0.12625,0,0,0,0,0,0,15
44,gz_drop2,rs_h0.125_d5,000,1,rs,30,0,0.13403,0,0,0,0,0,0,10
44,gz_drop2,rs_h0.125_d5,001,1,rs,30,0,0.13403,0,0,0,0,0,0,10
44,gz_drop2,rs_h0.125_d5,002,1,rs,30,0,0.13403,0,0,0,0,0,0,10
44,gz_drop2_ctrl,extra_h0.3_d1.2,000,0,negobs,45,0,0.10205,0,0,0,0,0,0,0
44,gz_drop2_ctrl,extra_h0.3_d1.2,001,0,negobs,45,0,0.10205,0,0,0,0,0,0,0
44,gz_drop2_ctrl,extra_h0.3_d1.2,002,0,negobs,45,0,0.10205,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d10,000,0,negobs,8,0,0.0885,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d10,001,0,negobs,8,0,0.0885,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d10,002,0,negobs,8,0,0.0885,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d2,000,0,negobs,33,0,0.09954,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d2,001,0,negobs,33,0,0.09954,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d2,002,0,negobs,33,0,0.09954,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d5,000,0,negobs,23,0,0.10018,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d5,001,0,negobs,23,0,0.10018,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.3_d5,002,0,negobs,23,0,0.10018,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.9_d10,000,0,negobs,20,2,0.53414,1,0,0,0,0,6,0
44,gz_drop2_ctrl,preset_h0.9_d10,001,0,negobs,20,2,0.53414,1,0,0,0,0,6,0
44,gz_drop2_ctrl,preset_h0.9_d10,002,0,negobs,20,2,0.53414,1,0,0,0,0,6,0
44,gz_drop2_ctrl,preset_h0.9_d2,000,0,negobs,22,0,0.09209,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.9_d2,001,0,negobs,22,0,0.09209,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.9_d2,002,0,negobs,22,0,0.09209,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.9_d5,000,0,negobs,31,0,0.09788,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.9_d5,001,0,negobs,31,0,0.09788,0,0,0,0,0,0,0
44,gz_drop2_ctrl,preset_h0.9_d5,002,0,negobs,31,0,0.09788,0,0,0,0,0,0,0
44,gz_drop2_ctrl,rs_h0.125_d2,000,0,rs,26,0,0.11007,0,0,0,0,0,0,0
44,gz_drop2_ctrl,rs_h0.125_d2,001,0,rs,26,0,0.11007,0,0,0,0,0,0,0
44,gz_drop2_ctrl,rs_h0.125_d2,002,0,rs,26,0,0.11007,0,0,0,0,0,0,0
44,gz_drop2_ctrl,rs_h0.125_d5,000,0,rs,27,1,0.44557,1,0,0,0,0,1,0
44,gz_drop2_ctrl,rs_h0.125_d5,001,0,rs,27,1,0.44557,1,0,0,0,0,1,0
44,gz_drop2_ctrl,rs_h0.125_d5,002,0,rs,27,1,0.44557,1,0,0,0,0,1,0
44,gz_drop3,extra_h0.3_d1.2,000,1,negobs,1,0,0.17717,0,0,0,0,0,0,10
44,gz_drop3,extra_h0.3_d1.2,001,1,negobs,1,0,0.17717,0,0,0,0,0,0,10
44,gz_drop3,extra_h0.3_d1.2,002,1,negobs,1,0,0.17717,0,0,0,0,0,0,10
44,gz_drop3,preset_h0.3_d10,000,1,negobs,1,0,0.1729,0,0,0,0,0,0,1
44,gz_drop3,preset_h0.3_d10,001,1,negobs,1,0,0.1729,0,0,0,0,0,0,1
44,gz_drop3,preset_h0.3_d10,002,1,negobs,1,0,0.1729,0,0,0,0,0,0,1
44,gz_drop3,preset_h0.3_d2,000,1,negobs,1,0,0.06468,0,0,0,0,0,0,8
44,gz_drop3,preset_h0.3_d2,001,1,negobs,1,0,0.06468,0,0,0,0,0,0,8
44,gz_drop3,preset_h0.3_d2,002,1,negobs,1,0,0.06468,0,0,0,0,0,0,8
44,gz_drop3,preset_h0.3_d5,000,1,negobs,31,2,0.56554,1,1,0,1,0,5,6
44,gz_drop3,preset_h0.3_d5,001,1,negobs,31,2,0.56554,1,1,0,1,0,5,6
44,gz_drop3,preset_h0.3_d5,002,1,negobs,31,2,0.56554,1,1,0,1,0,5,6
44,gz_drop3,preset_h0.9_d10,000,1,negobs,1,0,0.17135,0,0,0,0,0,0,1
44,gz_drop3,preset_h0.9_d10,001,1,negobs,1,0,0.17135,0,0,0,0,0,0,1
44,gz_drop3,preset_h0.9_d10,002,1,negobs,1,0,0.17135,0,0,0,0,0,0,1
44,gz_drop3,preset_h0.9_d2,000,1,negobs,4,0,0.07856,0,0,0,0,0,0,8
44,gz_drop3,preset_h0.9_d2,001,1,negobs,4,0,0.07856,0,0,0,0,0,0,8
44,gz_drop3,preset_h0.9_d2,002,1,negobs,4,0,0.07856,0,0,0,0,0,0,8
44,gz_drop3,preset_h0.9_d5,000,1,negobs,22,0,0.16075,0,0,0,0,0,0,6
44,gz_drop3,preset_h0.9_d5,001,1,negobs,22,0,0.16075,0,0,0,0,0,0,6
44,gz_drop3,preset_h0.9_d5,002,1,negobs,22,0,0.16075,0,0,0,0,0,0,6
44,gz_drop3,rs_h0.125_d2,000,1,rs,2,0,0.09437,0,0,0,0,0,0,8
44,gz_drop3,rs_h0.125_d2,001,1,rs,2,0,0.09437,0,0,0,0,0,0,8
44,gz_drop3,rs_h0.125_d2,002,1,rs,2,0,0.09437,0,0,0,0,0,0,8
44,gz_drop3,rs_h0.125_d5,000,1,rs,1,1,0.37335,1,1,0,1,0,2,6
44,gz_drop3,rs_h0.125_d5,001,1,rs,1,1,0.37335,1,1,0,1,0,2,6
44,gz_drop3,rs_h0.125_d5,002,1,rs,1,1,0.37335,1,1,0,1,0,2,6
44,gz_drop3_ctrl,extra_h0.3_d1.2,000,0,negobs,1,0,0.17717,0,0,0,0,0,0,0
44,gz_drop3_ctrl,extra_h0.3_d1.2,001,0,negobs,1,0,0.17717,0,0,0,0,0,0,0
44,gz_drop3_ctrl,extra_h0.3_d1.2,002,0,negobs,1,0,0.17717,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d10,000,0,negobs,1,0,0.16763,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d10,001,0,negobs,1,0,0.16763,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d10,002,0,negobs,1,0,0.16763,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d2,000,0,negobs,1,0,0.06468,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d2,001,0,negobs,1,0,0.06468,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d2,002,0,negobs,1,0,0.06468,0,0,0,0,0,0,0
44,gz_drop3_ctrl,preset_h0.3_d5,000,0,negobs,31,2,0.5587,1,0,0,0,0,5,0
