epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.281653,0.416868,0.193727,0.167866,0.068848,3.000e-04,23.62,0.833333,0.513530
2,0.220703,0.262698,0.383960,0.306155,0.035154,2.980e-04,23.62,0.833333,0.608647
3,0.171947,0.423884,0.271162,0.302158,0.112864,2.960e-04,23.85,1.000000,0.635581
4,0.167170,0.327268,0.404633,0.418865,0.079365,2.940e-04,23.53,1.000000,0.702317
5,0.130168,0.326182,0.433257,0.454037,0.078197,2.920e-04,23.90,1.000000,0.716629
6,0.124012,0.297387,0.555233,0.689049,0.096601,2.900e-04,23.52,1.000000,0.777617
7,0.107829,0.383041,0.448954,0.574740,0.120070,2.880e-04,23.46,1.000000,0.724477
8,0.088564,0.343569,0.502481,0.647482,0.113253,2.860e-04,23.61,0.666667,0.584574
9,0.086745,0.343765,0.352365,0.345324,0.074886,2.840e-04,23.49,0.833333,0.592849
10,0.073700,0.353971,0.469223,0.581934,0.109456,2.820e-04,23.58,1.000000,0.734612
11,0.063194,0.382550,0.474378,0.647482,0.131853,2.800e-04,23.77,1.000000,0.737189
12,0.058838,0.421064,0.353181,0.346123,0.074788,2.780e-04,23.81,1.000000,0.676591
13,0.057798,0.516441,0.434868,0.709832,0.189405,2.760e-04,24.08,1.000000,0.717434
14,0.056710,0.463457,0.387218,0.576339,0.170611,2.740e-04,23.81,1.000000,0.693609
15,0.056209,0.363992,0.426481,0.489209,0.098062,2.720e-04,23.80,1.000000,0.713240
16,0.046757,0.317683,0.444027,0.472422,0.079852,2.700e-04,23.58,1.000000,0.722014
17,0.046337,0.415958,0.448957,0.653877,0.153374,2.680e-04,23.72,1.000000,0.724479
18,0.041204,0.377030,0.462222,0.623501,0.130879,2.660e-04,23.43,1.000000,0.731111
19,0.037134,0.387550,0.431750,0.519584,0.108092,2.640e-04,23.58,1.000000,0.715875
20,0.030618,0.340638,0.409178,0.427658,0.080728,2.620e-04,23.71,0.666667,0.537922
21,0.033733,0.435785,0.424921,0.591527,0.145292,2.600e-04,23.65,1.000000,0.712461
