epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.246147,0.206914,0.668258,0.671463,0.041192,3.000e-04,9.24,1.000000,0.834129
2,0.224994,0.263812,0.587196,0.637890,0.065148,2.980e-04,8.85,0.500000,0.543598
3,0.187212,0.238399,0.681223,0.748201,0.054630,2.960e-04,8.87,1.000000,0.840611
4,0.194087,0.226691,0.632287,0.676259,0.056383,2.940e-04,9.26,0.500000,0.566143
5,0.155474,0.312076,0.521112,0.606715,0.087935,2.920e-04,8.89,0.500000,0.510556
6,0.154986,0.299959,0.499385,0.486811,0.056383,2.900e-04,8.90,0.500000,0.499692
7,0.142804,0.302709,0.559223,0.690647,0.094946,2.880e-04,8.91,1.000000,0.779612
8,0.138808,0.242137,0.580796,0.594724,0.055215,2.860e-04,8.90,0.000000,0.290398
9,0.119739,0.285525,0.655670,0.762590,0.068653,2.840e-04,8.93,1.000000,0.827835
10,0.115841,0.262600,0.646745,0.726619,0.063395,2.820e-04,8.91,1.000000,0.823372
11,0.113739,0.290963,0.612868,0.673861,0.063979,2.800e-04,8.91,0.500000,0.556434
12,0.099323,0.242485,0.613861,0.669065,0.062226,2.780e-04,8.93,1.000000,0.806931
13,0.088240,0.312036,0.582418,0.635492,0.066608,2.760e-04,8.92,1.000000,0.791209
14,0.089057,0.237022,0.596833,0.587530,0.046450,2.740e-04,8.92,1.000000,0.798417
15,0.082384,0.283769,0.608961,0.717026,0.077710,2.720e-04,8.94,1.000000,0.804481
16,0.075090,0.254255,0.633094,0.633094,0.044698,2.700e-04,8.94,1.000000,0.816547
17,0.070515,0.261665,0.572072,0.609113,0.063395,2.680e-04,8.92,1.000000,0.786036
18,0.074447,0.349739,0.590385,0.736211,0.092317,2.660e-04,8.91,1.000000,0.795192
