model,seed,tau,frame_recall_V,frame_recall_E,frame_recall_H,frame_fa_off
depth,43,0.55,0.8833,0.6000,0.4688,0.0074
depth,43,0.60,0.8667,0.6000,0.4688,0.0074
depth,43,0.65,0.8667,0.6000,0.4688,0.0074
depth,43,0.70,0.8500,0.6000,0.4062,0.0074
depth,43,0.75,0.8167,0.6000,0.3750,0.0074
depth,43,0.80,0.8167,0.6000,0.3125,0.0074
depth,43,0.85,0.7833,0.6000,0.3125,0.0074
depth,43,0.90,0.7333,0.6000,0.3125,0.0074
depth,43,0.95,0.7167,0.5333,0.2500,0.0074
depth,44,0.05,1.0000,0.8000,0.8750,0.4926
depth,44,0.10,1.0000,0.7333,0.8750,0.3235
depth,44,0.15,1.0000,0.6000,0.8438,0.2721
depth,44,0.20,1.0000,0.6000,0.7812,0.2647
depth,44,0.25,1.0000,0.6000,0.6562,0.2279
depth,44,0.30,1.0000,0.6000,0.5625,0.2279
depth,44,0.35,0.9833,0.6000,0.5625,0.2059
depth,44,0.40,0.9667,0.6000,0.5625,0.1765
depth,44,0.45,0.9167,0.6000,0.5000,0.1103
depth,44,0.50,0.9000,0.6000,0.4375,0.0662
depth,44,0.55,0.8833,0.6000,0.4375,0.0441
depth,44,0.60,0.8667,0.6000,0.4375,0.0368
depth,44,0.65,0.8500,0.6000,0.4375,0.0368
depth,44,0.70,0.8333,0.6000,0.4062,0.0221
depth,44,0.75,0.8000,0.6000,0.3750,0.0147
depth,44,0.80,0.7333,0.5333,0.3125,0.0147
depth,44,0.85,0.6000,0.5333,0.3125,0.0147
depth,44,0.90,0.4667,0.3333,0.2500,0.0147
depth,44,0.95,0.3333,0.1333,0.1562,0.0074
depth,mean,0.05,0.9889,0.6889,0.7292,0.3211
depth,mean,0.10,0.9778,0.6667,0.6771,0.2083
depth,mean,0.15,0.9722,0.6000,0.6667,0.1838
depth,mean,0.20,0.9722,0.6000,0.6146,0.1642
depth,mean,0.25,0.9611,0.6000,0.5417,0.1348
depth,mean,0.30,0.9611,0.6000,0.5104,0.1225
depth,mean,0.35,0.9556,0.6000,0.5000,0.1127
depth,mean,0.40,0.9500,0.6000,0.4896,0.0956
depth,mean,0.45,0.9278,0.6000,0.4688,0.0637
depth,mean,0.50,0.9167,0.6000,0.4375,0.0417
depth,mean,0.55,0.9056,0.6000,0.4375,0.0319
depth,mean,0.60,0.8889,0.6000,0.4375,0.0270
depth,mean,0.65,0.8778,0.6000,0.4375,0.0245
depth,mean,0.70,0.8556,0.6000,0.4062,0.0172
depth,mean,0.75,0.8278,0.6000,0.3854,0.0147
depth,mean,0.80,0.8056,0.5778,0.3438,0.0123
depth,mean,0.85,0.7389,0.5556,0.3333,0.0123
depth,mean,0.90,0.6556,0.4889,0.3125,0.0098
depth,mean,0.95,0.5611,0.4000,0.2396,0.0074
b2,42,0.05,0.7167,0.0222,0.3854,0.4044
b2,42,0.10,0.7111,0.0000,0.3021,0.3431
b2,42,0.15,0.7111,0.0000,0.2812,0.3113
b2,42,0.20,0.7056,0.0000,0.2708,0.2892
b2,42,0.25,0.6944,0.0000,0.2396,0.2696
b2,42,0.30,0.6889,0.0000,0.1875,0.2525
b2,42,0.35,0.6889,0.0000,0.1667,0.2402
b2,42,0.40,0.6889,0.0000,0.1354,0.2328
b2,42,0.45,0.6833,0.0000,0.0938,0.2181
b2,42,0.50,0.6667,0.0000,0.0833,0.2108
b2,42,0.55,0.6611,0.0000,0.0625,0.2010
b2,42,0.60,0.6444,0.0000,0.0625,0.1936
b2,42,0.65,0.6444,0.0000,0.0417,0.1765
b2,42,0.70,0.6333,0.0000,0.0417,0.1618
b2,42,0.75,0.6000,0.0000,0.0208,0.1471
b2,42,0.80,0.5833,0.0000,0.0000,0.1275
b2,42,0.85,0.5444,0.0000,0.0000,0.1005
b2,42,0.90,0.4778,0.0000,0.0000,0.0686
b2,42,0.95,0.3444,0.0000,0.0000,0.0441
b2,43,0.05,1.0000,1.0000,0.9479,0.9877
b2,43,0.10,0.9944,0.9111,0.8646,0.9069
b2,43,0.15,0.9944,0.8667,0.7396,0.8284
b2,43,0.20,0.9778,0.8444,0.6667,0.7475
b2,43,0.25,0.9556,0.8444,0.6042,0.6716
b2,43,0.30,0.9556,0.7556,0.5417,0.5760
b2,43,0.35,0.9278,0.6667,0.5104,0.5270
b2,43,0.40,0.9111,0.6222,0.4896,0.4877
b2,43,0.45,0.8944,0.5556,0.4583,0.4412
b2,43,0.50,0.8722,0.5333,0.3958,0.3946
b2,43,0.55,0.8611,0.5333,0.3438,0.3358
b2,43,0.60,0.8389,0.4667,0.2812,0.2574
b2,43,0.65,0.8056,0.3778,0.1875,0.1814
b2,43,0.70,0.7722,0.2667,0.1042,0.1078
b2,43,0.75,0.7167,0.1556,0.0625,0.0637
b2,43,0.80,0.6778,0.0667,0.0104,0.0490
b2,43,0.85,0.6167,0.0222,0.0000,0.0319
b2,43,0.90,0.4722,0.0000,0.0000,0.0270
b2,43,0.95,0.1556,0.0000,0.0000,0.0025
b2,44,0.05,0.7778,0.0000,0.3750,0.2157
b2,44,0.10,0.7500,0.0000,0.3333,0.1912
b2,44,0.15,0.7278,0.0000,0.2812,0.1765
b2,44,0.20,0.7222,0.0000,0.2604,0.1667
b2,44,0.25,0.7056,0.0000,0.2396,0.1520
b2,44,0.30,0.7000,0.0000,0.2188,0.1446
b2,44,0.35,0.6778,0.0000,0.2083,0.1324
b2,44,0.40,0.6722,0.0000,0.2083,0.1225
b2,44,0.45,0.6556,0.0000,0.2083,0.1176
b2,44,0.50,0.6500,0.0000,0.2083,0.1078
b2,44,0.55,0.6333,0.0000,0.1979,0.1005
b2,44,0.60,0.6167,0.0000,0.1771,0.0882
b2,44,0.65,0.6056,0.0000,0.1667,0.0809
b2,44,0.70,0.5944,0.0000,0.1458,0.0711
b2,44,0.75,0.5667,0.0000,0.1146,0.0515
b2,44,0.80,0.5444,0.0000,0.0729,0.0490
b2,44,0.85,0.4778,0.0000,0.0625,0.0392
b2,44,0.90,0.4167,0.0000,0.0312,0.0245
b2,44,0.95,0.3167,0.0000,0.0104,0.0123
b2,mean,0.05,0.8315,0.3407,0.5694,0.5359
b2,mean,0.10,0.8185,0.3037,0.5000,0.4804
b2,mean,0.15,0.8111,0.2889,0.4340,0.4387
b2,mean,0.20,0.8019,0.2815,0.3993,0.4011
b2,mean,0.25,0.7852,0.2815,0.3611,0.3644
b2,mean,0.30,0.7815,0.2519,0.3160,0.3243
b2,mean,0.35,0.7648,0.2222,0.2951,0.2998
b2,mean,0.40,0.7574,0.2074,0.2778,0.2810
b2,mean,0.45,0.7444,0.1852,0.2535,0.2590
b2,mean,0.50,0.7296,0.1778,0.2292,0.2377
b2,mean,0.55,0.7185,0.1778,0.2014,0.2124
b2,mean,0.60,0.7000,0.1556,0.1736,0.1797
b2,mean,0.65,0.6852,0.1259,0.1319,0.1462
b2,mean,0.70,0.6667,0.0889,0.0972,0.1136
b2,mean,0.75,0.6278,0.0519,0.0660,0.0874
b2,mean,0.80,0.6019,0.0222,0.0278,0.0752
b2,mean,0.85,0.5463,0.0074,0.0208,0.0572
b2,mean,0.90,0.4556,0.0000,0.0104,0.0400
b2,mean,0.95,0.2722,0.0000,0.0035,0.0196
yolo,42,0.05,0.2222,0.0000,0.0104,0.0172
yolo,42,0.10,0.1556,0.0000,0.0104,0.0098
yolo,42,0.15,0.1389,0.0000,0.0000,0.0049
yolo,42,0.20,0.1278,0.0000,0.0000,0.0049
yolo,42,0.25,0.1167,0.0000,0.0000,0.0049
yolo,42,0.30,0.1000,0.0000,0.0000,0.0049
yolo,42,0.35,0.0778,0.0000,0.0000,0.0049
yolo,42,0.40,0.0667,0.0000,0.0000,0.0025
yolo,42,0.45,0.0556,0.0000,0.0000,0.0000
yolo,42,0.50,0.0556,0.0000,0.0000,0.0000
yolo,42,0.55,0.0500,0.0000,0.0000,0.0000
yolo,42,0.60,0.0500,0.0000,0.0000,0.0000
yolo,42,0.65,0.0444,0.0000,0.0000,0.0000
yolo,42,0.70,0.0444,0.0000,0.0000,0.0000
yolo,42,0.75,0.0389,0.0000,0.0000,0.0000
yolo,42,0.80,0.0278,0.0000,0.0000,0.0000
yolo,42,0.85,0.0222,0.0000,0.0000,0.0000
yolo,42,0.90,0.0111,0.0000,0.0000,0.0000
yolo,42,0.95,0.0000,0.0000,0.0000,0.0000
