epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5103,2.12823,2.98991,1.87651,0.12195,0.16548,0.05504,0.02013,1.35497,47.7155,1.19045,0.000660131,0.000660131,0.000660131
2,38.4853,2.05497,2.59052,1.77603,0.06467,0.03783,0.01317,0.00318,1.91579,40.4554,1.67808,0.00130491,0.00130491,0.00130491
3,56.8216,2.10067,2.50294,1.78938,0.08038,0.08156,0.0159,0.00478,1.63929,115.26,1.30405,0.00192768,0.00192768,0.00192768
4,75.2366,2.01998,2.3317,1.70573,0.11704,0.16312,0.0426,0.01409,1.60573,59.8462,1.36641,0.001901,0.001901,0.001901
5,94.1478,1.9249,2.08206,1.64775,0.07941,0.08511,0.01515,0.00405,1.84197,36.1491,1.53838,0.001868,0.001868,0.001868
6,112.249,1.90444,2.01727,1.62843,0.12109,0.11584,0.05671,0.01785,1.56661,28.5485,1.17487,0.001835,0.001835,0.001835
7,131.118,1.8068,1.94804,1.56018,0.5698,0.14539,0.18365,0.08121,1.25783,12.8883,1.01763,0.001802,0.001802,0.001802
8,149.115,1.83341,1.88841,1.54879,0.58183,0.14308,0.13484,0.0738,1.28121,11.3524,1.01664,0.001769,0.001769,0.001769
9,167.987,1.70038,1.75584,1.49834,0.27363,0.1773,0.13422,0.06697,1.17768,14.5278,0.97437,0.001736,0.001736,0.001736
10,185.751,1.63262,1.66155,1.46567,0.18256,0.24823,0.09438,0.03046,1.2794,11.4054,1.08432,0.001703,0.001703,0.001703
11,204.913,1.58375,1.54067,1.42143,0.37414,0.25768,0.25552,0.11558,1.24995,5.95305,0.99258,0.00167,0.00167,0.00167
12,223.128,1.60682,1.49939,1.42681,0.35344,0.31206,0.26359,0.12204,1.19242,5.61041,0.97425,0.001637,0.001637,0.001637
13,242.042,1.57267,1.51782,1.42982,0.43826,0.30496,0.28445,0.131,1.36732,15.313,1.12216,0.001604,0.001604,0.001604
14,260.047,1.54084,1.44937,1.391,0.37395,0.27187,0.26746,0.11357,1.18302,3.57278,0.93659,0.001571,0.001571,0.001571
15,278.674,1.49216,1.31893,1.35481,0.32708,0.30969,0.24136,0.11139,1.16855,5.18164,0.94617,0.001538,0.001538,0.001538
16,296.895,1.50123,1.36288,1.36094,0.52956,0.31087,0.28427,0.11727,1.20664,8.09758,0.96523,0.001505,0.001505,0.001505
17,315.601,1.41551,1.28725,1.31535,0.50303,0.43262,0.38961,0.1759,1.13321,3.77372,0.92156,0.001472,0.001472,0.001472
18,333.57,1.458,1.31481,1.33417,0.42021,0.42435,0.38226,0.17041,1.18511,5.0295,0.96963,0.001439,0.001439,0.001439
19,352.537,1.44601,1.28158,1.32332,0.51167,0.41489,0.32927,0.13477,1.18657,4.96984,0.95838,0.001406,0.001406,0.001406
20,370.368,1.41343,1.24031,1.29989,0.51035,0.46809,0.4381,0.22137,1.06388,4.03516,0.86003,0.001373,0.001373,0.001373
21,388.92,1.36216,1.18268,1.29197,0.49697,0.31414,0.34463,0.16324,1.09378,3.52422,0.90925,0.00134,0.00134,0.00134
22,406.976,1.34005,1.13336,1.26795,0.39028,0.28014,0.27076,0.14679,1.05965,5.87358,0.88854,0.001307,0.001307,0.001307
23,425.644,1.31231,1.10536,1.25854,0.40993,0.44917,0.36366,0.1755,1.05457,8.35092,0.87613,0.001274,0.001274,0.001274
24,443.463,1.37865,1.15433,1.26261,0.35342,0.3487,0.31627,0.14801,1.01004,3.01337,0.8155,0.001241,0.001241,0.001241
25,462.384,1.30469,1.08659,1.24952,0.36716,0.41962,0.36785,0.19073,1.06765,4.36933,0.87982,0.001208,0.001208,0.001208
26,480.27,1.32631,1.105,1.2632,0.45726,0.43735,0.4179,0.20987,1.02124,6.12118,0.83621,0.001175,0.001175,0.001175
27,498.987,1.27375,1.0783,1.21626,0.52591,0.47754,0.46837,0.2503,0.93038,2.39313,0.79533,0.001142,0.001142,0.001142
28,516.833,1.27854,1.05331,1.21684,0.45428,0.46051,0.4044,0.19609,1.03792,3.68441,0.83857,0.001109,0.001109,0.001109
29,535.687,1.22473,1.02477,1.21523,0.4,0.38849,0.36791,0.18502,0.97565,2.72777,0.81154,0.001076,0.001076,0.001076
30,553.657,1.2372,0.99465,1.19826,0.5243,0.47163,0.43796,0.22418,1.04821,4.5251,0.9049,0.001043,0.001043,0.001043
31,572.847,1.23412,1.0132,1.20225,0.30595,0.48345,0.34284,0.16172,1.11205,4.08895,0.89796,0.00101,0.00101,0.00101
32,591.328,1.19568,0.98807,1.17666,0.4728,0.44444,0.43366,0.23995,0.98418,3.42198,0.81051,0.000977,0.000977,0.000977
33,609.986,1.20059,0.98005,1.18329,0.38843,0.47754,0.40541,0.20521,1.05998,3.24435,0.89173,0.000944,0.000944,0.000944
34,627.897,1.14331,0.92602,1.17058,0.31538,0.49409,0.36741,0.20285,0.96089,3.11409,0.8157,0.000911,0.000911,0.000911
35,646.908,1.16436,0.93093,1.17138,0.40986,0.46217,0.41849,0.21443,0.99363,4.50329,0.82952,0.000878,0.000878,0.000878
36,664.75,1.12707,0.90494,1.1393,0.49256,0.47991,0.45251,0.2261,0.98568,3.57227,0.82956,0.000845,0.000845,0.000845
37,683.316,1.17543,0.93039,1.17476,0.26438,0.45625,0.33732,0.18338,0.9547,4.85071,0.82746,0.000812,0.000812,0.000812
38,701.257,1.12082,0.86044,1.12883,0.4554,0.47147,0.4302,0.24399,0.9514,8.71174,0.82767,0.000779,0.000779,0.000779
39,720.225,1.09954,0.88801,1.13153,0.40941,0.44563,0.39671,0.22988,0.9065,5.2734,0.76783,0.000746,0.000746,0.000746
40,738.127,1.11366,0.86546,1.13098,0.39089,0.46099,0.40474,0.2267,0.88148,2.03709,0.76907,0.000713,0.000713,0.000713
41,756.919,1.10012,0.9123,1.13096,0.39868,0.4569,0.38633,0.2086,0.91564,2.63227,0.77156,0.00068,0.00068,0.00068
42,774.846,1.0621,0.86213,1.10463,0.34639,0.46927,0.35874,0.19535,0.95553,4.0152,0.82968,0.000647,0.000647,0.000647
