epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3994,2.09381,2.87607,1.85246,0.19527,0.10757,0.04776,0.01728,1.43494,92.5209,1.2851,0.000660131,0.000660131,0.000660131
2,38.4617,1.98159,2.5024,1.72028,0.01512,0.05437,0.00278,0.0008,1.57563,1057.82,1.42119,0.00130491,0.00130491,0.00130491
3,57.5471,2.04102,2.40842,1.77529,0.01643,0.04137,0.00202,0.00044,1.81567,306.631,1.52304,0.00192768,0.00192768,0.00192768
4,75.3911,1.94995,2.22096,1.70549,0.13707,0.06974,0.03446,0.01049,1.73876,42.6332,1.45467,0.001901,0.001901,0.001901
5,94.6865,1.9512,2.11311,1.68508,0.22108,0.13475,0.10654,0.04119,1.36135,13.2212,1.11313,0.001868,0.001868,0.001868
6,112.733,1.89689,2.0141,1.63623,0.24735,0.2104,0.12196,0.04558,1.49287,6.73522,1.18538,0.001835,0.001835,0.001835
7,132.208,1.80142,1.91801,1.58588,0.36137,0.13357,0.12994,0.0593,1.43196,9.34317,1.19876,0.001802,0.001802,0.001802
8,149.917,1.83534,1.86743,1.56447,0.32772,0.2234,0.20127,0.08373,1.23207,18.7632,0.99938,0.001769,0.001769,0.001769
9,168.595,1.67386,1.72908,1.51034,0.15497,0.28605,0.13464,0.06316,1.29193,9.55244,1.08417,0.001736,0.001736,0.001736
10,186.721,1.62803,1.62044,1.47223,0.19968,0.35343,0.15028,0.04848,1.34128,23.7599,1.07607,0.001703,0.001703,0.001703
11,205.323,1.58351,1.56548,1.42569,0.21095,0.32742,0.14833,0.06623,1.21888,6.03633,1.01679,0.00167,0.00167,0.00167
12,223.398,1.59586,1.46068,1.42793,0.39105,0.28314,0.28806,0.12966,1.23362,13.6253,1.01856,0.001637,0.001637,0.001637
13,242.377,1.55732,1.47463,1.40689,0.28547,0.16903,0.16221,0.07234,1.41305,21.9115,1.17425,0.001604,0.001604,0.001604
14,260.2,1.5366,1.41792,1.39296,0.41497,0.23995,0.28226,0.13995,1.14514,3.60944,0.92866,0.001571,0.001571,0.001571
15,278.897,1.49427,1.34404,1.35284,0.20581,0.39953,0.21103,0.08443,1.09907,4.3688,0.89934,0.001538,0.001538,0.001538
16,296.929,1.46303,1.32983,1.34483,0.39424,0.37079,0.31172,0.15029,1.19044,8.64418,0.98336,0.001505,0.001505,0.001505
17,315.515,1.41637,1.26521,1.31735,0.2784,0.4078,0.27604,0.13288,1.07026,4.53267,0.89407,0.001472,0.001472,0.001472
18,334.007,1.44133,1.29615,1.33162,0.47739,0.4279,0.39172,0.15538,1.32628,4.23994,1.1077,0.001439,0.001439,0.001439
19,352.729,1.43113,1.25759,1.31992,0.32702,0.35343,0.29564,0.11179,1.32104,5.4129,1.10137,0.001406,0.001406,0.001406
20,371.207,1.41397,1.2133,1.30819,0.3567,0.29905,0.31223,0.16143,1.12472,7.01941,0.96495,0.001373,0.001373,0.001373
21,389.973,1.40058,1.17353,1.31258,0.39683,0.38416,0.36247,0.16336,1.25043,4.24901,1.03681,0.00134,0.00134,0.00134
22,408.057,1.32998,1.11856,1.2678,0.33458,0.19149,0.22192,0.11438,1.18432,9.11946,1.03229,0.001307,0.001307,0.001307
23,427.122,1.31872,1.11022,1.25918,0.38751,0.41489,0.35371,0.16945,1.15458,9.33435,0.99118,0.001274,0.001274,0.001274
24,445.368,1.37949,1.14922,1.26573,0.40007,0.44917,0.37346,0.18817,1.12369,4.83537,0.91292,0.001241,0.001241,0.001241
25,463.807,1.30175,1.06346,1.25155,0.22289,0.40426,0.30725,0.16635,1.11685,9.7038,0.94134,0.001208,0.001208,0.001208
26,481.837,1.33166,1.09078,1.26288,0.33562,0.41135,0.32644,0.17201,1.05156,16.3407,0.86635,0.001175,0.001175,0.001175
27,500.413,1.28314,1.07346,1.22259,0.32574,0.41962,0.3398,0.17717,1.05614,4.04001,0.93092,0.001142,0.001142,0.001142
28,518.452,1.27558,1.0413,1.21466,0.36978,0.53127,0.39645,0.21078,1.05483,2.33198,0.9269,0.001109,0.001109,0.001109
29,537.703,1.21445,1.00316,1.20859,0.38998,0.47002,0.35815,0.18747,1.13862,2.36099,0.98396,0.001076,0.001076,0.001076
30,555.565,1.2594,1.00017,1.19891,0.45791,0.45508,0.41128,0.19347,1.16377,3.39694,0.99568,0.001043,0.001043,0.001043
31,574.331,1.20678,1.00796,1.18316,0.50877,0.21986,0.31362,0.16481,1.04497,2.24838,0.88434,0.00101,0.00101,0.00101
32,592.366,1.19785,0.99187,1.17352,0.25388,0.487,0.35023,0.1871,1.03761,2.66193,0.89608,0.000977,0.000977,0.000977
33,611.258,1.20081,0.97058,1.17913,0.25918,0.56028,0.35303,0.18756,1.06511,3.77136,0.89561,0.000944,0.000944,0.000944
34,629.506,1.14931,0.91896,1.16562,0.33966,0.52364,0.37253,0.19312,1.03515,1.93991,0.88208,0.000911,0.000911,0.000911
