epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.261254,0.289033,0.184309,0.108187,0.008865,6.000e-05,29.86,0.000000,0.092154
2,0.136208,0.382176,0.176353,0.128655,0.044523,5.960e-05,29.56,0.000000,0.088176
3,0.094031,0.402670,0.514180,0.609649,0.102640,5.920e-05,29.63,0.833333,0.673757
4,0.069965,0.329945,0.497138,0.444444,0.046296,5.880e-05,29.62,0.166667,0.331902
5,0.060608,0.407293,0.550058,0.698830,0.113475,5.840e-05,29.63,0.833333,0.691695
6,0.055978,0.446343,0.506083,0.608187,0.107171,5.800e-05,29.72,0.666667,0.586375
7,0.044617,0.407753,0.493151,0.473684,0.060284,5.760e-05,29.66,0.166667,0.329909
8,0.029363,0.516774,0.545035,0.690058,0.113475,5.720e-05,29.62,1.000000,0.772517
9,0.032158,0.404273,0.496172,0.473684,0.058708,5.680e-05,29.57,0.666667,0.581419
10,0.023668,0.524976,0.528432,0.672515,0.117612,5.640e-05,29.63,1.000000,0.764216
11,0.023568,0.462215,0.448133,0.394737,0.049448,5.600e-05,29.61,0.833333,0.640733
12,0.025104,0.539194,0.536615,0.653509,0.105398,5.560e-05,29.59,1.000000,0.768307
13,0.021543,0.458100,0.561708,0.615497,0.077620,5.520e-05,29.63,0.666667,0.614187
14,0.015592,0.463448,0.489531,0.495614,0.071316,5.480e-05,29.58,0.500000,0.494765
15,0.015071,0.547677,0.334322,0.247076,0.031127,5.440e-05,29.66,0.000000,0.167161
16,0.015429,0.461877,0.489734,0.470760,0.060875,5.400e-05,29.54,0.666667,0.578200
17,0.012998,0.543192,0.540925,0.666667,0.107565,5.360e-05,29.54,1.000000,0.770463
18,0.013840,0.513394,0.507277,0.535088,0.077423,5.320e-05,29.53,0.666667,0.586972
19,0.017322,0.619261,0.495250,0.571637,0.099291,5.280e-05,29.68,0.833333,0.664292
20,0.011691,0.614448,0.503759,0.587719,0.100473,5.240e-05,29.60,1.000000,0.751880
21,0.013660,0.504840,0.494942,0.464912,0.055753,5.200e-05,29.70,0.166667,0.330804
22,0.010832,0.551499,0.495702,0.505848,0.072104,5.160e-05,29.43,0.833333,0.664518
23,0.014949,0.548958,0.519947,0.571637,0.084515,5.120e-05,29.52,0.833333,0.676640
