epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score,val_spread,vgconst_pass,sel_f1,sel_fa,sel_h_hits,sel_n_H,sel_beta,sel_H_hat,val_frame_fa_all,val_frame_fa_d,val_loss_masked
1,0.261235,0.361950,0.119421,0.068989,0.013907,3.000e-04,45.51,0.053763,0.083245,8.437055e-01,1,0.135781,0.007766,6,90,0.750000,0.076087,0.181090,0.090909,0.310519
2,0.209771,0.478647,0.166936,0.105874,0.026165,2.980e-04,45.59,0.059140,0.109391,9.942924e-01,1,0.190329,0.019713,9,90,0.750000,0.108696,0.118590,0.071970,0.385756
3,0.181101,0.367716,0.360423,0.302937,0.060851,2.960e-04,45.32,0.075269,0.195364,9.927844e-01,1,0.398915,0.002190,11,90,0.750000,0.130435,0.198718,0.026515,0.312387
4,0.149834,0.438460,0.335713,0.232923,0.024901,2.940e-04,45.25,0.080645,0.204985,9.983839e-01,1,0.382535,0.004779,13,90,0.750000,0.152174,0.192308,0.053030,0.326665
5,0.124878,0.407354,0.089783,0.049522,0.008630,2.920e-04,45.26,0.043011,0.078850,9.216112e-01,1,0.103070,0.003982,6,90,0.750000,0.076087,0.091346,0.022727,0.341718
6,0.118409,0.496399,0.235995,0.148907,0.018195,2.900e-04,45.07,0.021505,0.108303,9.769481e-01,1,0.273354,0.000796,4,90,0.750000,0.054348,0.073718,0.015152,0.365605
7,0.098643,0.504578,0.303436,0.239754,0.054804,2.880e-04,45.25,0.086022,0.190451,9.975999e-01,1,0.339530,0.008562,13,90,0.750000,0.152174,0.302885,0.075758,0.388694
8,0.081044,0.525939,0.301160,0.248292,0.064479,2.860e-04,45.11,0.069892,0.193149,9.987277e-01,1,0.338376,0.005575,13,90,0.750000,0.152174,0.277244,0.045455,0.402055
9,0.076756,0.519377,0.228126,0.170082,0.051671,2.840e-04,44.87,0.096774,0.167580,9.980148e-01,1,0.258403,0.011151,13,90,0.750000,0.152174,0.253205,0.071970,0.411351
10,0.062607,0.464916,0.290293,0.216530,0.044305,2.820e-04,44.79,0.150538,0.287374,9.997181e-01,1,0.327954,0.006571,25,90,0.750000,0.282609,0.293269,0.053030,0.363032
11,0.052774,0.627669,0.114373,0.063866,0.008520,2.800e-04,44.91,0.016129,0.065289,9.959955e-01,1,0.133906,0.000796,3,90,0.750000,0.043478,0.048077,0.011364,0.484795
12,0.048877,0.579881,0.226220,0.156762,0.036884,2.780e-04,44.91,0.064516,0.135172,9.988094e-01,1,0.255174,0.001991,8,90,0.750000,0.097826,0.230769,0.030303,0.459891
13,0.053866,0.622453,0.165317,0.101093,0.019624,2.760e-04,44.77,0.043011,0.118937,9.954374e-01,1,0.191029,0.002190,8,90,0.750000,0.097826,0.128205,0.022727,0.482225
14,0.038306,0.606942,0.198271,0.125342,0.022372,2.740e-04,44.85,0.037634,0.105177,9.997346e-01,1,0.226650,0.000398,5,90,0.750000,0.065217,0.128205,0.007576,0.497165
15,0.043628,0.591431,0.209763,0.128415,0.015446,2.720e-04,44.85,0.010753,0.082115,9.933959e-01,1,0.242581,0.002987,2,90,0.750000,0.032609,0.102564,0.034091,0.481109
16,0.034969,0.605134,0.278049,0.194672,0.033091,2.700e-04,44.83,0.139785,0.292018,9.985405e-01,1,0.317107,0.007368,26,90,0.750000,0.293478,0.246795,0.064394,0.479081
17,0.023069,0.648476,0.248785,0.174863,0.037159,2.680e-04,45.04,0.032258,0.126008,9.944384e-01,1,0.283735,0.001991,6,90,0.750000,0.076087,0.176282,0.034091,0.509392
18,0.034469,0.616428,0.227743,0.150273,0.027265,2.660e-04,44.81,0.043011,0.099276,9.993078e-01,1,0.258754,0.006173,4,90,0.750000,0.054348,0.222756,0.075758,0.481349
19,0.049098,0.699563,0.291686,0.212090,0.038973,2.640e-04,44.67,0.043011,0.145450,9.998938e-01,1,0.331285,0.002589,7,90,0.750000,0.086957,0.198718,0.037879,0.537851
20,0.028045,0.619055,0.213422,0.141735,0.030013,2.620e-04,44.58,0.091398,0.198361,9.992721e-01,1,0.242282,0.000796,16,90,0.750000,0.184783,0.206731,0.015152,0.479176
21,0.017736,0.632110,0.283810,0.203552,0.037159,2.600e-04,44.39,0.096774,0.196883,9.996057e-01,1,0.322298,0.005974,14,90,0.750000,0.163043,0.266026,0.056818,0.472377
22,0.016308,0.701808,0.235897,0.157104,0.028144,2.580e-04,44.59,0.053763,0.146947,9.996516e-01,1,0.268071,0.001593,9,90,0.750000,0.108696,0.190705,0.018939,0.531557
23,0.017969,0.778388,0.219906,0.144126,0.026825,2.560e-04,44.58,0.032258,0.118732,9.981790e-01,1,0.253835,0.001792,6,90,0.750000,0.076087,0.149038,0.022727,0.565635
24,0.026840,0.805204,0.289934,0.345287,0.166832,2.540e-04,44.32,0.387097,0.563565,9.999927e-01,1,0.314607,0.028674,62,90,0.750000,0.684783,0.570513,0.261364,0.688069
25,0.027934,0.712288,0.219416,0.142418,0.025066,2.520e-04,44.42,0.043011,0.123109,9.976866e-01,1,0.252274,0.005177,7,90,0.750000,0.086957,0.182692,0.041667,0.537614
26,0.017466,0.748296,0.213705,0.125683,0.008135,2.500e-04,44.50,0.010753,0.082972,9.968801e-01,1,0.248397,0.003584,2,90,0.750000,0.032609,0.064103,0.034091,0.578994
27,0.011522,0.653261,0.322121,0.224044,0.026880,2.480e-04,44.43,0.064516,0.187841,9.987347e-01,1,0.366434,0.001593,11,90,0.750000,0.130435,0.141026,0.022727,0.500258
28,0.009940,0.688411,0.297631,0.197404,0.020778,2.460e-04,44.52,0.096774,0.215238,9.999754e-01,1,0.340855,0.008562,16,90,0.750000,0.184783,0.169872,0.079545,0.533869
29,0.012096,0.560030,0.297454,0.201503,0.024681,2.440e-04,44.51,0.349462,0.303152,9.993165e-01,1,0.312354,0.011350,28,90,0.750000,0.315217,0.266026,0.162879,0.486177
30,0.016943,0.792981,0.261505,0.183402,0.035290,2.420e-04,44.55,0.037634,0.125831,9.999884e-01,1,0.297365,0.005575,6,90,0.750000,0.076087,0.217949,0.064394,0.564054
