epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.403084,0.400695,0.294574,0.333333,0.125296,3.000e-04,33.53,1.000000,0.647287
2,0.372085,0.353969,0.000000,0.000000,0.000000,2.980e-04,33.25,0.000000,0.000000
3,0.398281,0.351953,0.000000,0.000000,0.000000,2.960e-04,33.16,0.000000,0.000000
4,0.375439,0.362298,0.247619,0.228070,0.082742,2.940e-04,32.89,1.000000,0.623810
5,0.387268,0.362817,0.000000,0.000000,0.000000,2.920e-04,32.99,0.000000,0.000000
6,0.392595,0.374807,0.238095,0.219298,0.083924,2.900e-04,33.48,1.000000,0.619048
7,0.381417,0.350030,0.000000,0.000000,0.000000,2.880e-04,33.03,0.000000,0.000000
8,0.396856,0.349278,0.000000,0.000000,0.000000,2.860e-04,33.14,0.000000,0.000000
9,0.375723,0.354411,0.000000,0.000000,0.000000,2.840e-04,33.11,0.000000,0.000000
10,0.401138,0.354432,0.000000,0.000000,0.000000,2.820e-04,33.08,0.000000,0.000000
11,0.377719,0.349498,0.000000,0.000000,0.000000,2.800e-04,32.97,0.000000,0.000000
12,0.390061,0.360683,0.000000,0.000000,0.000000,2.780e-04,33.05,0.000000,0.000000
13,0.388750,0.360075,0.000000,0.000000,0.000000,2.760e-04,33.02,0.000000,0.000000
14,0.364604,0.350748,0.000000,0.000000,0.000000,2.740e-04,32.91,0.000000,0.000000
15,0.394491,0.350467,0.000000,0.000000,0.000000,2.720e-04,33.01,0.000000,0.000000
16,0.397710,0.356507,0.000000,0.000000,0.000000,2.700e-04,33.10,0.000000,0.000000
