model,seed,scene,occluder,cut,cond,round,d,h,pitch,yaw,hfov,edge_projected,hbin,dbin,dbin3a,n_gt,ncell_3a,ncell_3b,d_3a,d_3b,on_3a,off_3a,on_3b,off_3b,rec_3a,rec_3b,delta_all
rgb,43,scene15,lateral wall + 25deg bend (corridor occlusion),L7__s20260820__0006.png::boost_h,L7,260820_boost_h_on,6.9519,0.4238,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,0.18685899999999997,0.458358,0.337176,0.150317,0.799063,0.340705,0.0,1.0,0.458358
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0000.png,L0,260819_main_on,4.7439,0.8483,-9.8586,1.429,61.6578,130,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.009593,0.981821,0.001668,0.011261,0.996306,0.014485,0.0,1.0,0.981821
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0001.png,L0,260819_main_on,7.036,1.2795,-8.9998,1.6524,61.4065,179,h_hi (~1.8),d 7-9,d>=6.8,9,4,5,-0.035812,0.921885,0.024254,0.060066,0.940746,0.018861,0.0,1.0,0.88068
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0003.png,L0,260819_main_on,4.594,0.9536,-3.2277,7.0829,62.9059,125,h_mid (~0.9),d<7,d<5.5,10,5,5,0.06517800000000001,0.717034,0.303225,0.238047,0.871872,0.154838,0.0,1.0,0.633825
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0004.png,L0,260819_main_on,8.4208,1.0624,-9.4161,-17.2604,60.9456,141,h_mid (~0.9),d 7-9,d>=6.8,4,0,4,nan,0.9709559999999999,nan,nan,0.975313,0.004357,nan,1.0,0.9709559999999999
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0006.png,L0,260819_main_on,6.5633,0.9635,-10.0252,-0.1653,61.7917,167,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,-0.0020030000000000325,0.7409370000000001,0.371901,0.373904,0.76829,0.027353,0.0,1.0,0.394386
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0007.png,L0,260819_main_on,4.9665,0.7236,-8.8174,0.2988,62.6318,132,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.009678,0.5769470000000001,0.000159,0.009837,0.639256,0.062309,0.0,1.0,0.5769470000000001
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0000.png::boost_e,L0,260820_boost_e_on,8.9228,1.4412,-8.1284,3.311,58.9789,189,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.380747,nan,nan,0.393593,0.012846,nan,0.0,0.380747
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0000.png::boost_h,L0,260820_boost_h_on,8.9228,0.5085,-8.1284,3.311,58.9789,188,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.492747,nan,nan,0.499007,0.00626,nan,0.0,0.492747
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0001.png::boost_e,L0,260820_boost_e_on,11.2053,1.7168,-10.3828,-4.0507,61.2701,67,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.166282,nan,nan,0.167744,0.001462,nan,0.0,0.166282
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0001.png::boost_h,L0,260820_boost_h_on,11.2053,0.8037,-10.3828,-4.0507,61.2701,67,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.564446,nan,nan,0.565741,0.001295,nan,1.0,0.564446
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0003.png::boost_e,L0,260820_boost_e_on,10.095,1.8852,-7.2352,-9.0359,60.577,182,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.640819,nan,nan,0.928464,0.287645,nan,1.0,0.640819
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0003.png::boost_h,L0,260820_boost_h_on,10.095,0.9842,-7.2352,-9.0359,60.577,180,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.770397,nan,nan,0.777143,0.006746,nan,1.0,0.770397
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0004.png::boost_e,L0,260820_boost_e_on,6.7379,1.5701,-16.0704,-3.7589,60.2149,170,h_hi (~1.8),d<7,d 5.5-6.8,10,5,5,-0.006338999999999997,0.905773,0.057822,0.064161,0.940671,0.034898,0.0,1.0,0.87651
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0004.png::boost_h,L0,260820_boost_h_on,6.7379,0.6465,-16.0704,-3.7589,60.2149,164,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,1.6000000000000003e-05,0.017181000000000002,2.4e-05,8e-06,0.017183,2e-06,0.0,0.0,0.017175
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0005.png::boost_e,L0,260820_boost_e_on,8.1602,1.6314,-12.4022,9.6925,62.3957,179,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.8024640000000001,nan,nan,0.815879,0.013415,nan,1.0,0.8024640000000001
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0005.png::boost_h,L0,260820_boost_h_on,8.1602,0.7122,-12.4022,9.6925,62.3957,179,h_mid (~0.9),d 7-9,d>=6.8,5,0,5,nan,0.038397999999999995,nan,nan,0.041232,0.002834,nan,0.0,0.038397999999999995
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0006.png::boost_e,L0,260820_boost_e_on,8.239,1.2253,-16.5186,9.6527,62.4123,168,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.345399,nan,nan,0.345594,0.000195,nan,0.0,0.345399
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0006.png::boost_h,L0,260820_boost_h_on,8.239,0.2771,-16.5186,9.6527,62.4123,166,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,2.7e-05,nan,nan,2.9e-05,2e-06,nan,0.0,2.7e-05
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0007.png::boost_e,L0,260820_boost_e_on,10.4613,1.2748,-6.1172,5.4847,60.0935,198,h_hi (~1.8),d>=9,d>=6.8,5,0,5,nan,0.26714899999999997,nan,nan,0.267182,3.3e-05,nan,0.0,0.26714899999999997
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0007.png::boost_h,L0,260820_boost_h_on,10.4613,0.3301,-6.1172,5.4847,60.0935,198,h_lo (robot ~0.3),d>=9,d>=6.8,5,0,5,nan,0.232538,nan,nan,0.236014,0.003476,nan,0.0,0.232538
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260819__0000.png,L5,260819_main_on,4.7439,0.8483,-9.8586,1.429,61.6578,130,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.004459,0.980205,0.000366,0.004825,0.992391,0.012186,0.0,1.0,0.980205
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260819__0001.png,L5,260819_main_on,7.036,1.2795,-8.9998,1.6524,61.4065,179,h_hi (~1.8),d 7-9,d>=6.8,9,4,5,0.062036,0.862532,0.066096,0.00406,0.885829,0.023297,0.0,1.0,0.862532
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260819__0003.png,L5,260819_main_on,4.594,0.9536,-3.2277,7.0829,62.9059,125,h_mid (~0.9),d<7,d<5.5,10,5,5,0.13338500000000003,0.6901059999999999,0.263375,0.12999,0.835065,0.144959,0.0,1.0,0.6901059999999999
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260819__0004.png,L5,260819_main_on,8.4208,1.0624,-9.4161,-17.2604,60.9456,141,h_mid (~0.9),d 7-9,d>=6.8,4,0,4,nan,0.912374,nan,nan,0.921262,0.008888,nan,1.0,0.912374
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260819__0006.png,L5,260819_main_on,6.5633,0.9635,-10.0252,-0.1653,61.7917,167,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,0.3737960000000001,0.689896,0.65236,0.278564,0.740713,0.050817,1.0,1.0,0.462149
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260819__0007.png,L5,260819_main_on,4.9665,0.7236,-8.8174,0.2988,62.6318,132,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.019004,0.635019,0.007708,0.026712,0.771684,0.136665,0.0,1.0,0.635019
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0000.png::boost_e,L5,260820_boost_e_on,8.9228,1.4412,-8.1284,3.311,58.9789,189,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.353531,nan,nan,0.373454,0.019923,nan,0.0,0.353531
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0000.png::boost_h,L5,260820_boost_h_on,8.9228,0.5085,-8.1284,3.311,58.9789,188,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.438378,nan,nan,0.443189,0.004811,nan,0.0,0.438378
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0001.png::boost_e,L5,260820_boost_e_on,11.2053,1.7168,-10.3828,-4.0507,61.2701,67,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.007705,nan,nan,0.011377,0.003672,nan,0.0,0.007705
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0001.png::boost_h,L5,260820_boost_h_on,11.2053,0.8037,-10.3828,-4.0507,61.2701,67,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.844615,nan,nan,0.84898,0.004365,nan,1.0,0.844615
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0003.png::boost_e,L5,260820_boost_e_on,10.095,1.8852,-7.2352,-9.0359,60.577,182,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.975769,nan,nan,0.987202,0.011433,nan,1.0,0.975769
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0003.png::boost_h,L5,260820_boost_h_on,10.095,0.9842,-7.2352,-9.0359,60.577,180,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.8610589999999999,nan,nan,0.865412,0.004353,nan,1.0,0.8610589999999999
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0004.png::boost_e,L5,260820_boost_e_on,6.7379,1.5701,-16.0704,-3.7589,60.2149,170,h_hi (~1.8),d<7,d 5.5-6.8,10,5,5,0.04983800000000001,0.890512,0.089552,0.039714,0.906045,0.015533,0.0,1.0,0.866331
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0004.png::boost_h,L5,260820_boost_h_on,6.7379,0.6465,-16.0704,-3.7589,60.2149,164,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,0.00023400000000000002,0.051639000000000004,0.00042,0.000186,0.051686,4.7e-05,0.0,0.0,0.051500000000000004
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0005.png::boost_e,L5,260820_boost_e_on,8.1602,1.6314,-12.4022,9.6925,62.3957,179,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.54089,nan,nan,0.566689,0.025799,nan,1.0,0.54089
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0005.png::boost_h,L5,260820_boost_h_on,8.1602,0.7122,-12.4022,9.6925,62.3957,179,h_mid (~0.9),d 7-9,d>=6.8,5,0,5,nan,0.138763,nan,nan,0.141202,0.002439,nan,0.0,0.138763
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0006.png::boost_e,L5,260820_boost_e_on,8.239,1.2253,-16.5186,9.6527,62.4123,168,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.069783,nan,nan,0.070268,0.000485,nan,0.0,0.069783
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0006.png::boost_h,L5,260820_boost_h_on,8.239,0.2771,-16.5186,9.6527,62.4123,166,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,4.4999999999999996e-05,nan,nan,5.1e-05,6e-06,nan,0.0,4.4999999999999996e-05
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0007.png::boost_e,L5,260820_boost_e_on,10.4613,1.2748,-6.1172,5.4847,60.0935,198,h_hi (~1.8),d>=9,d>=6.8,5,0,5,nan,0.251906,nan,nan,0.252077,0.000171,nan,0.0,0.251906
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L5__s20260820__0007.png::boost_h,L5,260820_boost_h_on,10.4613,0.3301,-6.1172,5.4847,60.0935,198,h_lo (robot ~0.3),d>=9,d>=6.8,5,0,5,nan,0.548865,nan,nan,0.561131,0.012266,nan,1.0,0.548865
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0000.png,L7,260819_main_on,4.7439,0.8483,-9.8586,1.429,61.6578,130,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.033643,0.888528,0.004897,0.03854,0.997317,0.108789,0.0,1.0,0.888528
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0001.png,L7,260819_main_on,7.036,1.2795,-8.9998,1.6524,61.4065,179,h_hi (~1.8),d 7-9,d>=6.8,9,4,5,0.079834,0.898555,0.110672,0.030838,0.961645,0.06309,0.0,1.0,0.898555
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0003.png,L7,260819_main_on,4.594,0.9536,-3.2277,7.0829,62.9059,125,h_mid (~0.9),d<7,d<5.5,10,5,5,0.540129,0.593125,0.734684,0.194555,0.943515,0.35039,1.0,1.0,0.593125
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0004.png,L7,260819_main_on,8.4208,1.0624,-9.4161,-17.2604,60.9456,141,h_mid (~0.9),d 7-9,d>=6.8,4,0,4,nan,0.994533,nan,nan,0.996579,0.002046,nan,1.0,0.994533
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0006.png,L7,260819_main_on,6.5633,0.9635,-10.0252,-0.1653,61.7917,167,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,0.155078,0.522977,0.604753,0.449675,0.927226,0.404249,1.0,1.0,0.477551
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0007.png,L7,260819_main_on,4.9665,0.7236,-8.8174,0.2988,62.6318,132,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.034954000000000006,0.413323,0.003883,0.038837,0.55479,0.141467,0.0,1.0,0.413323
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0000.png::boost_e,L7,260820_boost_e_on,8.9228,1.4412,-8.1284,3.311,58.9789,189,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.584881,nan,nan,0.609707,0.024826,nan,1.0,0.584881
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0000.png::boost_h,L7,260820_boost_h_on,8.9228,0.5085,-8.1284,3.311,58.9789,188,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.710611,nan,nan,0.71086,0.000249,nan,1.0,0.710611
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0001.png::boost_e,L7,260820_boost_e_on,11.2053,1.7168,-10.3828,-4.0507,61.2701,67,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.7972,nan,nan,0.806227,0.009027,nan,1.0,0.7972
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0001.png::boost_h,L7,260820_boost_h_on,11.2053,0.8037,-10.3828,-4.0507,61.2701,67,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.912718,nan,nan,0.914247,0.001529,nan,1.0,0.912718
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0003.png::boost_e,L7,260820_boost_e_on,10.095,1.8852,-7.2352,-9.0359,60.577,182,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.837194,nan,nan,0.983176,0.145982,nan,1.0,0.837194
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0003.png::boost_h,L7,260820_boost_h_on,10.095,0.9842,-7.2352,-9.0359,60.577,180,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.8891709999999999,nan,nan,0.894396,0.005225,nan,1.0,0.8891709999999999
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0004.png::boost_e,L7,260820_boost_e_on,6.7379,1.5701,-16.0704,-3.7589,60.2149,170,h_hi (~1.8),d<7,d 5.5-6.8,10,5,5,-0.048704,0.6963680000000001,0.135183,0.183887,0.855763,0.159395,0.0,1.0,0.671876
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0004.png::boost_h,L7,260820_boost_h_on,6.7379,0.6465,-16.0704,-3.7589,60.2149,164,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,-0.00014199999999999998,0.464347,9.1e-05,0.000233,0.464501,0.000154,0.0,0.0,0.464268
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0005.png::boost_e,L7,260820_boost_e_on,8.1602,1.6314,-12.4022,9.6925,62.3957,179,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.886305,nan,nan,0.990755,0.10445,nan,1.0,0.886305
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0005.png::boost_h,L7,260820_boost_h_on,8.1602,0.7122,-12.4022,9.6925,62.3957,179,h_mid (~0.9),d 7-9,d>=6.8,5,0,5,nan,0.069535,nan,nan,0.075382,0.005847,nan,0.0,0.069535
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0006.png::boost_e,L7,260820_boost_e_on,8.239,1.2253,-16.5186,9.6527,62.4123,168,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,0.524159,nan,nan,0.525694,0.001535,nan,1.0,0.524159
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0006.png::boost_h,L7,260820_boost_h_on,8.239,0.2771,-16.5186,9.6527,62.4123,166,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.000337,nan,nan,0.000442,0.000105,nan,0.0,0.000337
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0007.png::boost_e,L7,260820_boost_e_on,10.4613,1.2748,-6.1172,5.4847,60.0935,198,h_hi (~1.8),d>=9,d>=6.8,5,0,5,nan,0.6976469999999999,nan,nan,0.697753,0.000106,nan,1.0,0.6976469999999999
rgb,44,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0007.png::boost_h,L7,260820_boost_h_on,10.4613,0.3301,-6.1172,5.4847,60.0935,198,h_lo (robot ~0.3),d>=9,d>=6.8,5,0,5,nan,0.6258429999999999,nan,nan,0.665697,0.039854,nan,1.0,0.6258429999999999
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260819__0000.png,L0,260819_main_on,9.9031,0.4233,-6.6317,-4.2143,61.8616,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,0.06906500000000004,nan,nan,0.610155,0.54109,nan,1.0,0.06906500000000004
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0000.png::boost_e,L0,260820_boost_e_on,10.9914,0.3911,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,-0.02304700000000004,nan,nan,0.602445,0.625492,nan,1.0,-0.02304700000000004
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0000.png::boost_h,L0,260820_boost_h_on,10.9914,0.3614,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,-0.09597600000000006,nan,nan,0.682974,0.77895,nan,1.0,-0.09597600000000006
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0001.png::boost_h,L0,260820_boost_h_on,9.9013,0.8097,-6.8068,-11.8299,63.9125,14,h_mid (~0.9),d>=9,d>=6.8,1,0,1,nan,0.17523699999999998,nan,nan,0.557554,0.382317,nan,1.0,0.17523699999999998
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0003.png::boost_e,L0,260820_boost_e_on,7.5147,0.4734,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,0.15434200000000003,0.11570499999999995,0.321352,0.16701,0.572263,0.456558,0.0,1.0,0.11570499999999995
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0003.png::boost_h,L0,260820_boost_h_on,7.5147,0.4263,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,0.06981500000000002,0.12065000000000003,0.458533,0.388718,0.611198,0.490548,0.0,1.0,0.12065000000000003
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0004.png::boost_e,L0,260820_boost_e_on,9.9583,0.8223,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,0.10812299999999997,nan,nan,0.629056,0.520933,nan,1.0,0.10812299999999997
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0004.png::boost_h,L0,260820_boost_h_on,9.9583,0.7018,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,-0.01782600000000001,nan,nan,0.386948,0.404774,nan,0.0,-0.01782600000000001
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0005.png::boost_e,L0,260820_boost_e_on,9.8366,0.3501,-5.4058,-7.3396,62.3314,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.07325900000000002,nan,nan,0.247322,0.320581,nan,0.0,-0.07325900000000002
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0005.png::boost_h,L0,260820_boost_h_on,9.8366,0.329,-5.4058,-7.3396,62.3314,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.01911400000000002,nan,nan,0.369453,0.388567,nan,0.0,-0.01911400000000002
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0006.png::boost_e,L0,260820_boost_e_on,6.9519,0.4701,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,-0.12343399999999999,0.03288800000000003,0.365615,0.489049,0.654745,0.621857,0.0,1.0,0.03288800000000003
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0006.png::boost_h,L0,260820_boost_h_on,6.9519,0.4238,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,-0.05585200000000001,0.03780499999999998,0.405695,0.461547,0.684088,0.646283,0.0,1.0,0.03780499999999998
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260819__0000.png,L4,260819_main_on,9.9031,0.4233,-6.6317,-4.2143,61.8616,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,0.10628300000000002,nan,nan,0.510553,0.40427,nan,1.0,0.10628300000000002
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0000.png::boost_e,L4,260820_boost_e_on,10.9914,0.3911,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,-0.232308,nan,nan,0.214606,0.446914,nan,0.0,-0.232308
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0000.png::boost_h,L4,260820_boost_h_on,10.9914,0.3614,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,-0.160767,nan,nan,0.344121,0.504888,nan,0.0,-0.160767
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0001.png::boost_h,L4,260820_boost_h_on,9.9013,0.8097,-6.8068,-11.8299,63.9125,14,h_mid (~0.9),d>=9,d>=6.8,1,0,1,nan,-0.14555400000000002,nan,nan,0.177284,0.322838,nan,0.0,-0.14555400000000002
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0003.png::boost_e,L4,260820_boost_e_on,7.5147,0.4734,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,-0.04978199999999999,-0.353063,0.081712,0.131494,0.16732,0.520383,0.0,0.0,-0.353063
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0003.png::boost_h,L4,260820_boost_h_on,7.5147,0.4263,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,0.08500700000000001,0.09689800000000004,0.186012,0.101005,0.457886,0.360988,0.0,0.0,0.09689800000000004
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0004.png::boost_e,L4,260820_boost_e_on,9.9583,0.8223,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,-0.07771799999999995,nan,nan,0.509888,0.587606,nan,1.0,-0.07771799999999995
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0004.png::boost_h,L4,260820_boost_h_on,9.9583,0.7018,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,-0.107454,nan,nan,0.344422,0.451876,nan,0.0,-0.107454
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0005.png::boost_e,L4,260820_boost_e_on,9.8366,0.3501,-5.4058,-7.3396,62.3314,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.136028,nan,nan,0.213969,0.349997,nan,0.0,-0.136028
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0005.png::boost_h,L4,260820_boost_h_on,9.8366,0.329,-5.4058,-7.3396,62.3314,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.076629,nan,nan,0.379353,0.455982,nan,0.0,-0.076629
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0006.png::boost_e,L4,260820_boost_e_on,6.9519,0.4701,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,0.09321799999999997,-0.1035609999999999,0.522752,0.429534,0.625187,0.728748,1.0,1.0,-0.1035609999999999
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0006.png::boost_h,L4,260820_boost_h_on,6.9519,0.4238,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,-0.0030170000000000474,-0.07752500000000007,0.588974,0.591991,0.608046,0.685571,1.0,1.0,-0.07752500000000007
rgb,44,scene15,lateral wall + 25deg bend (corridor occlusion),L7__s20260819__0000.png,L7,260819_main_on,9.9031,0.4233,-6.6317,-4.2143,61.8616,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.060425000000000006,nan,nan,0.318418,0.378843,nan,0.0,-0.060425000000000006
