scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
scene14,L0__s20260819__0004.png,H,True,,4,0.331817,0.063365,0.26845199999999997,0.331817,0.063365,0.26845199999999997
scene14,L0__s20260819__0005.png,V,True,,5,0.955835,0.218027,0.737808,0.955835,0.218027,0.737808
scene14,L0__s20260819__0006.png,H,True,,5,0.372783,0.112572,0.26021099999999997,0.372783,0.112572,0.26021099999999997
scene14,L0__s20260819__0007.png,H,True,,5,0.198873,0.081566,0.117307,0.198873,0.081566,0.117307
scene14,L5__s20260819__0000.png,H,True,,5,0.09172,0.063757,0.027963000000000002,0.09172,0.063757,0.027963000000000002
scene14,L5__s20260819__0001.png,H,True,,5,0.681191,0.130142,0.551049,0.681191,0.130142,0.551049
scene14,L5__s20260819__0002.png,V,True,,10,0.931238,0.244516,0.686722,0.931238,0.244516,0.686722
scene14,L5__s20260819__0003.png,H,True,,5,0.565486,0.307744,0.257742,0.565486,0.307744,0.257742
scene14,L5__s20260819__0004.png,H,True,,4,0.488244,0.243764,0.24448,0.488244,0.243764,0.24448
scene14,L5__s20260819__0005.png,V,True,,5,0.829966,0.354098,0.47586799999999996,0.829966,0.354098,0.47586799999999996
scene14,L5__s20260819__0006.png,H,True,,5,0.51996,0.387168,0.13279199999999997,0.51996,0.387168,0.13279199999999997
scene14,L5__s20260819__0007.png,H,True,,5,0.272101,0.172153,0.09994799999999998,0.272101,0.172153,0.09994799999999998
scene14,L7__s20260819__0000.png,H,True,,5,0.188816,0.082324,0.10649200000000002,0.188816,0.082324,0.10649200000000002
scene14,L7__s20260819__0001.png,H,True,,5,0.753763,0.129019,0.624744,0.753763,0.129019,0.624744
scene14,L7__s20260819__0002.png,V,True,,10,0.975943,0.426659,0.549284,0.975943,0.426659,0.549284
scene14,L7__s20260819__0003.png,H,True,,5,0.738265,0.285664,0.452601,0.738265,0.285664,0.452601
scene14,L7__s20260819__0004.png,H,True,,4,0.168309,0.037298,0.131011,0.168309,0.037298,0.131011
scene14,L7__s20260819__0005.png,V,True,,5,0.975505,0.274351,0.7011539999999999,0.975505,0.274351,0.7011539999999999
scene14,L7__s20260819__0006.png,H,True,,5,0.386697,0.116266,0.27043100000000003,0.386697,0.116266,0.27043100000000003
scene14,L7__s20260819__0007.png,H,True,,5,0.187482,0.064504,0.122978,0.187482,0.064504,0.122978
scene15,L0__s20260819__0000.png,H,True,,1,0.246062,0.219664,0.026398000000000005,0.246062,0.219664,0.026398000000000005
