epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec
1,0.330033,0.832059,0.289076,0.666667,0.289855,3.000e-04,13.98
2,0.205267,0.753891,0.186613,0.356589,0.242563,2.980e-04,13.88
3,0.171457,0.513637,0.274933,0.395349,0.145690,2.960e-04,13.81
4,0.121568,0.479553,0.258675,0.317829,0.112128,2.940e-04,13.84
5,0.103795,0.371244,0.283333,0.263566,0.058734,2.920e-04,13.72
6,0.071241,0.495352,0.262195,0.333333,0.118993,2.900e-04,13.75
7,0.077103,0.557447,0.116838,0.131783,0.110603,2.880e-04,13.75
8,0.097167,1.266121,0.236301,0.534884,0.294432,2.860e-04,13.85
9,0.083780,0.841213,0.195329,0.356589,0.225782,2.840e-04,13.73
10,0.048703,0.781837,0.199525,0.325581,0.190694,2.820e-04,13.86
11,0.040781,0.597072,0.252252,0.325581,0.123570,2.800e-04,13.79
12,0.041837,0.610230,0.263415,0.418605,0.173150,2.780e-04,13.84
13,0.029261,0.494395,0.294314,0.341085,0.096110,2.760e-04,13.77
14,0.020589,0.557291,0.262857,0.356589,0.133486,2.740e-04,13.68
15,0.019436,0.639165,0.250696,0.348837,0.141114,2.720e-04,13.85
16,0.025223,0.586114,0.266667,0.310078,0.099924,2.700e-04,13.80
17,0.021775,0.595229,0.287841,0.449612,0.164760,2.680e-04,13.77
18,0.016267,0.572846,0.272189,0.356589,0.124333,2.660e-04,13.78
19,0.021911,0.760362,0.244009,0.434109,0.209001,2.640e-04,13.76
20,0.030072,1.003451,0.147126,0.248062,0.209001,2.620e-04,13.81
21,0.082183,1.344324,0.189103,0.457364,0.332571,2.600e-04,13.74
22,0.070427,1.121519,0.217918,0.348837,0.182304,2.580e-04,13.74
23,0.036378,0.682860,0.251397,0.348837,0.140351,2.560e-04,13.86
24,0.022079,0.817969,0.221080,0.333333,0.165523,2.540e-04,13.79
25,0.014558,0.777578,0.221636,0.325581,0.158658,2.520e-04,13.76
26,0.012429,0.736438,0.236559,0.341085,0.151793,2.500e-04,13.70
27,0.012170,0.826339,0.219949,0.333333,0.167048,2.480e-04,13.88
28,0.012123,0.772463,0.228117,0.333333,0.156369,2.460e-04,13.77
