file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dwxn,Own work,2024-06-02 18:36:50,https://commons.wikimedia.org/wiki/File:20240602_175752_Cheonggyecheon_03.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/20240602_175752_Cheonggyecheon_03.jpg,3912,2934,cat:Cheonggyecheon,File:20240602 175752 Cheonggyecheon 03.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dwxn,Own work,2024-06-02 18:36:59,https://commons.wikimedia.org/wiki/File:20240602_175752_Cheonggyecheon_04.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/20240602_175752_Cheonggyecheon_04.jpg,2891,3854,cat:Cheonggyecheon,File:20240602 175752 Cheonggyecheon 04.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dwxn,Own work,2024-06-02 18:44:09,https://commons.wikimedia.org/wiki/File:20240602_175752_Cheonggyecheon_05.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/20240602_175752_Cheonggyecheon_05.jpg,4032,3024,cat:Cheonggyecheon,File:20240602 175752 Cheonggyecheon 05.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dwxn,Own work,2024-06-02 18:44:44,https://commons.wikimedia.org/wiki/File:20240602_175752_Cheonggyecheon_06.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/20240602_175752_Cheonggyecheon_06.jpg,4032,3024,cat:Cheonggyecheon,File:20240602 175752 Cheonggyecheon 06.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dwxn,Own work,2024-06-02 18:53:01,https://commons.wikimedia.org/wiki/File:20240602_175752_Cheonggyecheon_07.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/20240602_175752_Cheonggyecheon_07.jpg,3024,4032,cat:Cheonggyecheon,File:20240602 175752 Cheonggyecheon 07.jpg
w3017_ccby20_2f5a1d_Cheonggye_Creek_2264261412.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"DearEdward from New York, NY, USA",Cheonggye Creek,2008-02-07 13:16,https://commons.wikimedia.org/wiki/File:Cheonggye_Creek_(2264261412).jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Cheonggye_Creek_%282264261412%29.jpg,600,800,cat:Cheonggyecheon,File:Cheonggye Creek (2264261412).jpg
w3018_kogltype1_b4e646_Cheonggye_stream_covering_1955_01.jpg,KOGL Type 1,http://www.kogl.or.kr/info/licenseType1.do,대한민국 공보처 홍보국,https://www.archives.go.kr/next/search/searchTotalUp.do?selectSearch=1 upside_query=%EC%B2%AD%EA%B3%84%EC%B2%9C%EA%B1%B4%EC%84%A4%EC%82%AC%ED%95%AD,Taken on 5 August 1960,https://commons.wikimedia.org/wiki/File:Cheonggye_stream_covering_1955_01.jpg,https://upload.wikimedia.org/wikipedia/commons/3/37/Cheonggye_stream_covering_1955_01.jpg,1024,821,cat:Cheonggyecheon,File:Cheonggye stream covering 1955 01.jpg
w3019_publicdomain_149fd2_Cheonggyecheon_1904.jpg,Public domain,,Unknown author Unknown author,朴昌根：《解读汉江奇迹》 同济大学出版社 ISBN：978 756 084 7979,1904,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_1904.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Cheonggyecheon_1904.jpg,1814,1795,cat:Cheonggyecheon,File:Cheonggyecheon 1904.jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Gaël Chardon,https://www.flickr.com/photos/gael/2431047922/,2008-04-21 13:10:55,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_2008-04-21.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Cheonggyecheon_2008-04-21.jpg,3072,2304,cat:Cheonggyecheon,File:Cheonggyecheon 2008-04-21.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Schellack,Photo taken on Oct 2012,2012-10,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_Dongdaemun_concert.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Cheonggyecheon_Dongdaemun_concert.jpg,4288,2848,cat:Cheonggyecheon,File:Cheonggyecheon Dongdaemun concert.jpg
w3022_publicdomain_f8c1dc_Cheonggyecheon_dongmyo.jpg,Public domain,,Bcody80 ( talk ) ( Uploads ),Own work,2006-12-09,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_dongmyo.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/Cheonggyecheon_dongmyo.jpg,3456,2304,cat:Cheonggyecheon,File:Cheonggyecheon dongmyo.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Pauloleong2002,Own work,2014-10-29 13:28:34,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_in_Korea.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Cheonggyecheon_in_Korea.jpg,1536,2560,cat:Cheonggyecheon,File:Cheonggyecheon in Korea.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Smiley.toerist,Own work,2014-10-05 10:03:43,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_playing_with_water_II.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Cheonggyecheon_playing_with_water_II.jpg,4288,3216,cat:Cheonggyecheon,File:Cheonggyecheon playing with water II.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,kallerna,Own work,2022-12-03 05:36:07,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_Seoul_1.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Cheonggyecheon_Seoul_1.jpg,4910,3280,cat:Cheonggyecheon,File:Cheonggyecheon Seoul 1.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,kallerna,Own work,2022-12-03 05:36,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_Seoul_2.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Cheonggyecheon_Seoul_2.jpg,5050,3315,cat:Cheonggyecheon,File:Cheonggyecheon Seoul 2.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Nesnad,Own work,2005-10-09,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_shortly_after_reopening_-_oct_9_-_2005.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Cheonggyecheon_shortly_after_reopening_-_oct_9_-_2005.jpg,1536,2048,cat:Cheonggyecheon,File:Cheonggyecheon shortly after reopening - oct 9 - 2005.jpg
w3028_ccby20_ad0f1e_Cheonggyecheon_stream_1510072356.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Francisco Anzola,Cheonggyecheon stream,2007-08-29 00:36,https://commons.wikimedia.org/wiki/File:Cheonggyecheon_stream_(1510072356).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Cheonggyecheon_stream_%281510072356%29.jpg,3072,2304,cat:Cheonggyecheon,File:Cheonggyecheon stream (1510072356).jpg
