model,seed,run,stratum,frame_id,scene_id,tier,cell,cell_idx,sector,band,score,cell_int_px,n_px,unseen,lum_ratio,line_frac,fam_decorative,fam_terrain,fam_lighting,fam_surrogate,fam_boundary,bnd_band,bnd_sector,bnd_corner,surrogate_weak,light_50,light_70,prior_saturated,n_families,families,method
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,D3a,13,D,3a,0.575845,0,4560,0,0.9941,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,A3b,15,A,3b,0.642421,0,1802,0,0.9846,0.0272,0,0,0,0,1,1,1,1,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,B3b,16,B,3b,0.773383,0,2696,0,0.9805,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,C3b,17,C,3b,0.826139,0,2487,0,0.9831,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,D3b,18,D,3b,0.681442,0,2692,0,0.9831,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0007.png,scene14,off,B3b,16,B,3b,0.538619,0,1102,0,0.9523,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0007.png,scene14,off,C3b,17,C,3b,0.618876,0,1026,0,0.9523,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,A3a,10,A,3a,0.872929,0,2927,0,0.9788,0.0663,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,B3a,11,B,3a,0.835237,0,2520,0,0.9735,0.0091,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,C3a,12,C,3a,0.958528,0,2347,0,0.9796,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.948304,0,2527,0,0.973,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,E3a,14,E,3a,0.722616,0,3169,0,0.9584,0.0088,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,A3b,15,A,3b,0.59939,0,228,0,0.945,0.1272,0,0,0,0,1,1,1,1,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,A3a,10,A,3a,0.6932,0,5636,0,0.9884,0.0082,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,B3a,11,B,3a,0.788585,0,4554,0,0.9917,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,C3a,12,C,3a,0.911786,0,4266,0,0.9861,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,D3a,13,D,3a,0.827881,0,4560,0,0.9801,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,E3a,14,E,3a,0.552786,0,5634,0,0.9737,0.0007,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,A3b,15,A,3b,0.64964,0,1802,0,0.9662,0.0333,0,0,0,0,1,1,1,1,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,B3b,16,B,3b,0.69335,0,2696,0,0.9586,0.0007,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,C3b,17,C,3b,0.805001,0,2487,0,0.9591,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,D3b,18,D,3b,0.700009,0,2692,0,0.9541,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0006.png,scene14,off,A3a,10,A,3a,0.556471,0,3270,0,0.9748,0.0327,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0006.png,scene14,off,C3a,12,C,3a,0.638573,0,2429,0,0.988,0.0062,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0007.png,scene14,off,C3a,12,C,3a,0.576592,0,1807,0,0.9248,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0007.png,scene14,off,B3b,16,B,3b,0.516124,0,1102,0,0.8951,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0007.png,scene14,off,C3b,17,C,3b,0.61033,0,1026,0,0.8951,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0002.png,scene14,off,A3b,15,A,3b,0.504838,0,1401,0,0.9888,0.0642,0,0,0,0,1,1,1,1,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0002.png,scene14,off,B3b,16,B,3b,0.55638,0,2351,0,0.9843,0.0013,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0002.png,scene14,off,C3b,17,C,3b,0.532022,0,2157,0,0.9838,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,A3a,10,A,3a,0.739389,0,2927,0,0.9826,0.0482,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,B3a,11,B,3a,0.539555,0,2520,0,0.9579,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,C3a,12,C,3a,0.885727,0,2347,0,0.9705,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.831653,0,2527,0,0.9735,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,A3a,10,A,3a,0.634195,0,5636,0,0.995,0.0016,0,0,0,0,1,0,1,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,B3a,11,B,3a,0.55612,0,4554,0,0.9941,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,C3a,12,C,3a,0.78011,0,4266,0,0.9941,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,D3a,13,D,3a,0.544948,0,4560,0,0.9906,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,A3b,15,A,3b,0.675931,0,1802,0,0.985,0.0394,0,0,0,0,1,1,1,1,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,B3b,16,B,3b,0.690377,0,2696,0,0.9806,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,C3b,17,C,3b,0.703464,0,2487,0,0.9806,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0005.png,scene14,off,D3b,18,D,3b,0.585688,0,2692,0,0.9803,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0007.png,scene14,off,C3b,17,C,3b,0.534036,0,1026,0,0.9885,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0000.png,scene15,off,B3b,16,B,3b,0.577258,0,3379,0,1.7159,0.0157,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0000.png,scene15,off,C3b,17,C,3b,0.626736,0,4280,0,1.7106,0.0477,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0001.png,scene15,off,C3b,17,C,3b,0.513938,0,76,0,1.2481,0.6053,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0002.png,scene15,off,C3b,17,C,3b,0.637202,0,956,0,0.6869,0.1098,0,0,0,0,1,1,0,0,0,0,1,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0002.png,scene15,off,D3b,18,D,3b,0.728821,0,349,0,0.3396,0.0115,0,0,1,0,1,1,0,0,0,1,1,0,2,조명형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0003.png,scene15,off,B3b,16,B,3b,0.912806,0,15,0,1.9986,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0003.png,scene15,off,C3b,17,C,3b,0.889658,0,738,0,1.988,0.0556,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0005.png,scene15,off,B3a,11,B,3a,0.652087,0,0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,1,지형통계형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0005.png,scene15,off,C3a,12,C,3a,0.723046,0,3519,0,0.5059,0.0088,0,0,1,0,0,0,0,0,0,0,1,0,1,조명형,heuristic
rgb,42,rgb_s42,OFF,off/scene15/L0__s20260819__0005.png,scene15,off,B3b,16,B,3b,0.799305,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
