backup_file	bytes	source_file_exists
dataset/v2_corpus/260820_boost_e_on/manifest.json.pre0827.bak	5546	True
dataset/v2_corpus/260820_boost_e_on/test/scene12/idseg_backfill.json.pre0827.bak	10974	True
dataset/v2_corpus/260820_boost_e_on/train/scene03/idseg_backfill.json.pre0827.bak	11023	True
dataset/v2_corpus/260820_boost_e_on/train/scene04/idseg_backfill.json.pre0827.bak	10975	True
dataset/v2_corpus/260820_boost_e_on/train/scene09/idseg_backfill.json.pre0827.bak	11023	True
dataset/v2_corpus/260820_boost_e_on/train/scene17/idseg_backfill.json.pre0827.bak	10999	True
dataset/v2_corpus/260820_boost_e_on/train/scene20/idseg_backfill.json.pre0827.bak	10951	True
dataset/v2_corpus/260820_boost_e_on/train/sceneC1/idseg_backfill.json.pre0827.bak	10975	True
dataset/v2_corpus/260820_boost_e_on/train/sceneC4/idseg_backfill.json.pre0827.bak	10975	True
dataset/v2_corpus/260820_boost_h_off/manifest.json.pre0827.bak	1859	True
dataset/v2_corpus/260820_boost_h_on/manifest.json.pre0827.bak	1854	True
dataset/v2_corpus/260820_boost_h_on/train/scene17/idseg_backfill.json.pre0827.bak	10999	True
dataset/v2_probes/260820_ctrloff/manifest.json.pre0827.bak	1127	True
dataset/v2_probes/260821_probe_off/manifest.json.pre0827.bak	1370	True
dataset/v2_probes/260821_probe_on/manifest.json.pre0827.bak	1366	True
dataset/v3_aux/260825_v3w0_cuecls_A/manifest.json.pre0827.bak	6717	True
dataset/v3_aux/260825_v3w0_cuecls_Bdress/manifest.json.pre0827.bak	6797	True
dataset/v3_aux/260825_v3w0_cuecls_Bmatl/manifest.json.pre0827.bak	1678	True
dataset/v3_aux/260825_v3w0_cuecls_Bnose/manifest.json.pre0827.bak	2019	True
dataset/v3_aux/260825_v3w0_cuecls_Brail/manifest.json.pre0827.bak	3381	True
dataset/v3_aux/260825_v3w0_cuecls_Btact/manifest.json.pre0827.bak	999	True
dataset/v3_aux/260826_v3a_segfill/manifest.json.pre0827.bak	6866	True
dataset/v3_aux/260826_v3a_segfill_e/manifest.json.pre0827.bak	3677	True
dataset/v3_aux/260826_v3a_segfill_e2/manifest.json.pre0827.bak	2116	True
dataset/v3_aux/260826_v3a_segfill_h/manifest.json.pre0827.bak	1032	True
