old	new	wave	kind	size_bytes	reason
look_check/scene01/260731_w3_full	look_check/_archive/w3/scene01/260731_w3_full	w3	round	50358055	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260731_w3_mb24_pre	look_check/_archive/w3/scene01/260731_w3_mb24_pre	w3	round	20925997	free round (W3, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260731_w3_s01_pre	look_check/_archive/w3/scene01/260731_w3_s01_pre	w3	round	54735023	free round (W3, role=pre-arm, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260805_w3_doctrine	look_check/_archive/w3fix/scene01/260805_w3_doctrine	w3fix	round	50737513	free round (W3-fix, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_allview4	look_check/_archive/w3fix/scene01/260806_w3_allview4	w3fix	round	15184764	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_allview5	look_check/_archive/w3fix/scene01/260806_w3_allview5	w3fix	round	14124267	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_fixqueue	look_check/_archive/w3fix/scene01/260806_w3_fixqueue	w3fix	round	51059466	free round (W3-fix, role=wave-round, cited_by=8) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_fixqueue2	look_check/_archive/w3fix/scene01/260806_w3_fixqueue2	w3fix	round	49789892	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/p2g4_on	look_check/_archive/w2/scene01/p2g4_on	w2	round	53130931	free round (W2-P2, role=lookAB-corpus, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/pair_cues_off	look_check/_archive/w2/scene01/pair_cues_off	w2	round	8335256	free round (W2-P2, role=lookAB-corpus, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260730_lcfreeze_post	look_check/_archive/w2d/scene02/260730_lcfreeze_post	w2d	round	49335375	free round (W2-D, role=wave-round, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260730_lcfreeze_pre	look_check/_archive/w2d/scene02/260730_lcfreeze_pre	w2d	round	49326978	free round (W2-D, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_cb7	look_check/_archive/w3/scene02/260731_w3_cb7	w3	round	46334270	free round (W3, role=wave-round, cited_by=13) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_cb7_pre	look_check/_archive/w3/scene02/260731_w3_cb7_pre	w3	round	48592058	free round (W3, role=pre-arm, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_full	look_check/_archive/w3/scene02/260731_w3_full	w3	round	47434514	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_gt25_pre	look_check/_archive/w3/scene02/260731_w3_gt25_pre	w3	round	46326259	free round (W3, role=pre-arm, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_mb24_pre	look_check/_archive/w3/scene02/260731_w3_mb24_pre	w3	round	19552043	free round (W3, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260805_w3_hedgeswap	look_check/_archive/w3fix/scene02/260805_w3_hedgeswap	w3fix	round	47491053	free round (W3-fix, role=wave-round, cited_by=11) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260806_w3_allview4	look_check/_archive/w3fix/scene02/260806_w3_allview4	w3fix	round	14128643	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260806_w3_allview5	look_check/_archive/w3fix/scene02/260806_w3_allview5	w3fix	round	14129743	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/_cb7_r1_glazing_rejected	look_check/_archive/w2/scene02/_cb7_r1_glazing_rejected	w2	round	45109714	free round (special, role=wave-round, cited_by=0) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/v7_pt	look_check/_archive/w2/scene02/v7_pt	w2	round	53440325	free round (W2-ladder, role=baseline-pt(judged), cited_by=28) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/260731_w3_full	look_check/_archive/w3/scene03/260731_w3_full	w3	round	64501112	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/260806_w3_allview4	look_check/_archive/w3fix/scene03/260806_w3_allview4	w3fix	round	13837386	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/260806_w3_allview5	look_check/_archive/w3fix/scene03/260806_w3_allview5	w3fix	round	14080189	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/260806_w3_fixqueue2	look_check/_archive/w3fix/scene03/260806_w3_fixqueue2	w3fix	round	65485917	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/260806_w3_s03probe	look_check/_archive/w3fix/scene03/260806_w3_s03probe	w3fix	round	65671899	free round (W3-fix, role=wave-round, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/260807_w3_fixqueue3	look_check/_archive/w3fix/scene03/260807_w3_fixqueue3	w3fix	round	66075157	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene03/v7_pt	look_check/_archive/w2/scene03/v7_pt	w2	round	56380533	free round (W2-ladder, role=baseline-pt(judged), cited_by=28) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene04/260730_lcfreeze_post	look_check/_archive/w2d/scene04/260730_lcfreeze_post	w2d	round	61909396	free round (W2-D, role=wave-round, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene04/260730_lcfreeze_pre	look_check/_archive/w2d/scene04/260730_lcfreeze_pre	w2d	round	62477994	free round (W2-D, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene04/260731_w3_full	look_check/_archive/w3/scene04/260731_w3_full	w3	round	75799029	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene04/260731_w3_s04b	look_check/_archive/w3/scene04/260731_w3_s04b	w3	round	73225993	free round (W3, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene04/260806_w3_allview4	look_check/_archive/w3fix/scene04/260806_w3_allview4	w3fix	round	23266215	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene04/v7_pt	look_check/_archive/w2/scene04/v7_pt	w2	round	53327237	free round (W2-ladder, role=baseline-pt(judged), cited_by=28) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260731_w3_full	look_check/_archive/w3/scene05/260731_w3_full	w3	round	55937995	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260731_w3_l05_pre	look_check/_archive/w3/scene05/260731_w3_l05_pre	w3	round	54592292	free round (W3, role=pre-arm, cited_by=0) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260731_w3_l05b	look_check/_archive/w3/scene05/260731_w3_l05b	w3	round	52712651	free round (W3, role=wave-round, cited_by=0) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260731_w3_l05c	look_check/_archive/w3/scene05/260731_w3_l05c	w3	round	55889922	free round (W3, role=wave-round, cited_by=0) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260805_w3_doctrine	look_check/_archive/w3fix/scene05/260805_w3_doctrine	w3fix	round	55940889	free round (W3-fix, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260805_w3_hedgeswap	look_check/_archive/w3fix/scene05/260805_w3_hedgeswap	w3fix	round	56062750	free round (W3-fix, role=wave-round, cited_by=11) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260806_w3_allview4	look_check/_archive/w3fix/scene05/260806_w3_allview4	w3fix	round	17275072	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260806_w3_allview5	look_check/_archive/w3fix/scene05/260806_w3_allview5	w3fix	round	17228301	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260806_w3_fixqueue	look_check/_archive/w3fix/scene05/260806_w3_fixqueue	w3fix	round	56232520	free round (W3-fix, role=wave-round, cited_by=8) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/260806_w3_fixqueue2	look_check/_archive/w3fix/scene05/260806_w3_fixqueue2	w3fix	round	56028085	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/_gt6_judge_baseline	look_check/_archive/w2/scene05/_gt6_judge_baseline	w2	round	54423287	free round (special, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene05/v8_pt	look_check/_archive/w2/scene05/v8_pt	w2	round	52454863	free round (W2-ladder, role=baseline-pt(judged), cited_by=23) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260731_w3_full	look_check/_archive/w3/scene06/260731_w3_full	w3	round	57334172	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260805_w3_doctrine	look_check/_archive/w3fix/scene06/260805_w3_doctrine	w3fix	round	57157324	free round (W3-fix, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260806_w3_allview4	look_check/_archive/w3fix/scene06/260806_w3_allview4	w3fix	round	13137883	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260806_w3_allview5	look_check/_archive/w3fix/scene06/260806_w3_allview5	w3fix	round	12659993	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260806_w3_fixqueue	look_check/_archive/w3fix/scene06/260806_w3_fixqueue	w3fix	round	52963513	free round (W3-fix, role=wave-round, cited_by=8) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260806_w3_fixqueue2	look_check/_archive/w3fix/scene06/260806_w3_fixqueue2	w3fix	round	50805135	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260807_w3_fixqueue3	look_check/_archive/w3fix/scene06/260807_w3_fixqueue3	w3fix	round	51542215	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260810_w3_s06collar	look_check/_archive/w3fix/scene06/260810_w3_s06collar	w3fix	round	50495146	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260810_w3_s06direct	look_check/_archive/w3fix/scene06/260810_w3_s06direct	w3fix	round	50425387	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260810_w3_s06endstair	look_check/_archive/w3fix/scene06/260810_w3_s06endstair	w3fix	round	45338774	free round (W3-fix, role=wave-round, cited_by=6) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06bay14	look_check/_archive/w3fix/scene06/260811_w3_s06bay14	w3fix	round	46845495	free round (W3-fix, role=wave-round, cited_by=6) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06ease	look_check/_archive/w3fix/scene06/260811_w3_s06ease	w3fix	round	46561305	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06glass	look_check/_archive/w3fix/scene06/260811_w3_s06glass	w3fix	round	46597025	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06sweep	look_check/_archive/w3fix/scene06/260811_w3_s06sweep	w3fix	round	46662310	free round (W3-fix, role=wave-round, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06trim	look_check/_archive/w3fix/scene06/260811_w3_s06trim	w3fix	round	44430637	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06weld	look_check/_archive/w3fix/scene06/260811_w3_s06weld	w3fix	round	44376764	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/260811_w3_s06wide	look_check/_archive/w3fix/scene06/260811_w3_s06wide	w3fix	round	44382017	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/_gt6_judge_baseline	look_check/_archive/w2/scene06/_gt6_judge_baseline	w2	round	64396838	free round (special, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene06/v8_pt	look_check/_archive/w2/scene06/v8_pt	w2	round	52212677	free round (W2-ladder, role=baseline-pt(judged), cited_by=23) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene07/260731_w3_full	look_check/_archive/w3/scene07/260731_w3_full	w3	round	68640224	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene07/260806_w3_allview4	look_check/_archive/w3fix/scene07/260806_w3_allview4	w3fix	round	18805449	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene07/260806_w3_allview5	look_check/_archive/w3fix/scene07/260806_w3_allview5	w3fix	round	18867699	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene07/260806_w3_fixqueue2	look_check/_archive/w3fix/scene07/260806_w3_fixqueue2	w3fix	round	69129826	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene07/p2g4_on	look_check/_archive/w2/scene07/p2g4_on	w2	round	69072511	free round (W2-P2, role=lookAB-corpus, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260731_w3_full	look_check/_archive/w3/scene08/260731_w3_full	w3	round	57547588	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260731_w3_s08	look_check/_archive/w3/scene08/260731_w3_s08	w3	round	51713279	free round (W3, role=wave-round, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260731_w3_s08b	look_check/_archive/w3/scene08/260731_w3_s08b	w3	round	55630041	free round (W3, role=wave-round, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260731_w3_s08c	look_check/_archive/w3/scene08/260731_w3_s08c	w3	round	56161299	free round (W3, role=wave-round, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260806_w3_allview4	look_check/_archive/w3fix/scene08/260806_w3_allview4	w3fix	round	15803522	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260806_w3_allview5	look_check/_archive/w3fix/scene08/260806_w3_allview5	w3fix	round	15795351	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/260806_w3_fixqueue2	look_check/_archive/w3fix/scene08/260806_w3_fixqueue2	w3fix	round	57535149	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene08/v7_pt	look_check/_archive/w2/scene08/v7_pt	w2	round	51607261	free round (W2-ladder, role=baseline-pt(judged), cited_by=28) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene09/260731_w3_full	look_check/_archive/w3/scene09/260731_w3_full	w3	round	50601831	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene09/260731_w3_mb24_pre	look_check/_archive/w3/scene09/260731_w3_mb24_pre	w3	round	13336844	free round (W3, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene09/260806_w3_allview4	look_check/_archive/w3fix/scene09/260806_w3_allview4	w3fix	round	12465712	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene09/260806_w3_allview5	look_check/_archive/w3fix/scene09/260806_w3_allview5	w3fix	round	13663644	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene09/260806_w3_fixqueue2	look_check/_archive/w3fix/scene09/260806_w3_fixqueue2	w3fix	round	60984835	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene09/v8_rt2	look_check/_archive/w2/scene09/v8_rt2	w2	round	38657246	free round (W2-ladder, role=history-corpus, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260731_w3_full	look_check/_archive/w3/scene10/260731_w3_full	w3	round	78098501	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260731_w3_pre10	look_check/_archive/w3/scene10/260731_w3_pre10	w3	round	24905768	free round (W3, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260731_w3_pre10c	look_check/_archive/w3/scene10/260731_w3_pre10c	w3	round	78472704	free round (W3, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260731_w3_s10	look_check/_archive/w3/scene10/260731_w3_s10	w3	round	78460575	free round (W3, role=wave-round, cited_by=11) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260805_w3_doctrine	look_check/_archive/w3fix/scene10/260805_w3_doctrine	w3fix	round	77723891	free round (W3-fix, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260806_w3_allview4	look_check/_archive/w3fix/scene10/260806_w3_allview4	w3fix	round	23947458	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260806_w3_allview5	look_check/_archive/w3fix/scene10/260806_w3_allview5	w3fix	round	23958725	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260806_w3_fixqueue	look_check/_archive/w3fix/scene10/260806_w3_fixqueue	w3fix	round	78109133	free round (W3-fix, role=wave-round, cited_by=8) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/260806_w3_fixqueue2	look_check/_archive/w3fix/scene10/260806_w3_fixqueue2	w3fix	round	77836161	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene10/v8_pt	look_check/_archive/w2/scene10/v8_pt	w2	round	71680376	free round (W2-ladder, role=baseline-pt(judged), cited_by=23) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260731_w3_full	look_check/_archive/w3/scene11/260731_w3_full	w3	round	61176409	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260731_w3_p11_pilot0	look_check/_archive/w3/scene11/260731_w3_p11_pilot0	w3	round	61086176	free round (W3, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260806_w3_allview4	look_check/_archive/w3fix/scene11/260806_w3_allview4	w3fix	round	15896857	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260806_w3_allview5	look_check/_archive/w3fix/scene11/260806_w3_allview5	w3fix	round	16101940	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260806_w3_fixqueue2	look_check/_archive/w3fix/scene11/260806_w3_fixqueue2	w3fix	round	61243117	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260807_w3_fixqueue3	look_check/_archive/w3fix/scene11/260807_w3_fixqueue3	w3fix	round	61918501	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260811_w3_s11flip	look_check/_archive/w3fix/scene11/260811_w3_s11flip	w3fix	round	61972428	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260811_w3_s11piers	look_check/_archive/w3fix/scene11/260811_w3_s11piers	w3fix	round	61931723	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/260811_w3_s11ribbon	look_check/_archive/w3fix/scene11/260811_w3_s11ribbon	w3fix	round	61825419	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene11/v8_pt	look_check/_archive/w2/scene11/v8_pt	w2	round	52282656	free round (W2-ladder, role=baseline-pt(judged), cited_by=23) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260731_w3_full	look_check/_archive/w3/scene12/260731_w3_full	w3	round	51601501	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260731_w3_l12	look_check/_archive/w3/scene12/260731_w3_l12	w3	round	52264081	free round (W3, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260731_w3_l12_mat	look_check/_archive/w3/scene12/260731_w3_l12_mat	w3	round	51695400	free round (W3, role=wave-round, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260731_w3_l12_pre	look_check/_archive/w3/scene12/260731_w3_l12_pre	w3	round	50126752	free round (W3, role=pre-arm, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260731_w3_l12b	look_check/_archive/w3/scene12/260731_w3_l12b	w3	round	52301774	free round (W3, role=wave-round, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260805_w3_doctrine	look_check/_archive/w3fix/scene12/260805_w3_doctrine	w3fix	round	55044548	free round (W3-fix, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260806_w3_allview4	look_check/_archive/w3fix/scene12/260806_w3_allview4	w3fix	round	12681657	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260806_w3_allview5	look_check/_archive/w3fix/scene12/260806_w3_allview5	w3fix	round	12666061	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/260806_w3_fixqueue	look_check/_archive/w3fix/scene12/260806_w3_fixqueue	w3fix	round	52240817	free round (W3-fix, role=wave-round, cited_by=8) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene12/v8_pt	look_check/_archive/w2/scene12/v8_pt	w2	round	50475795	free round (W2-ladder, role=baseline-pt(judged), cited_by=23) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260731_w3_full	look_check/_archive/w3/scene13/260731_w3_full	w3	round	55627308	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260805_w3_s13fix	look_check/_archive/w3fix/scene13/260805_w3_s13fix	w3fix	round	55552730	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260805_w3_s13fix2	look_check/_archive/w3fix/scene13/260805_w3_s13fix2	w3fix	round	54155178	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260805_w3_s13fix3	look_check/_archive/w3fix/scene13/260805_w3_s13fix3	w3fix	round	52007767	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260805_w3_s13fix4	look_check/_archive/w3fix/scene13/260805_w3_s13fix4	w3fix	round	54619841	free round (W3-fix, role=wave-round, cited_by=4) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260805_w3_s13fix5	look_check/_archive/w3fix/scene13/260805_w3_s13fix5	w3fix	round	54066185	free round (W3-fix, role=wave-round, cited_by=6) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260806_w3_allview4	look_check/_archive/w3fix/scene13/260806_w3_allview4	w3fix	round	13563020	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260806_w3_allview5	look_check/_archive/w3fix/scene13/260806_w3_allview5	w3fix	round	14423201	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260806_w3_s13fix6	look_check/_archive/w3fix/scene13/260806_w3_s13fix6	w3fix	round	53307111	free round (W3-fix, role=wave-round, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260806_w3_s13fix7	look_check/_archive/w3fix/scene13/260806_w3_s13fix7	w3fix	round	56661768	free round (W3-fix, role=wave-round, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260811_w3_s13frost_a	look_check/_archive/w3fix/scene13/260811_w3_s13frost_a	w3fix	round	56735975	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260811_w3_s13frost_b	look_check/_archive/w3fix/scene13/260811_w3_s13frost_b	w3fix	round	53095204	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260811_w3_s13frost_d	look_check/_archive/w3fix/scene13/260811_w3_s13frost_d	w3fix	round	48495082	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/260811_w3_s13frost_e	look_check/_archive/w3fix/scene13/260811_w3_s13frost_e	w3fix	round	48138795	free round (W3-fix, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/_gt6_judge_baseline	look_check/_archive/w2/scene13/_gt6_judge_baseline	w2	round	46936189	free round (special, role=wave-round, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene13/v7_pt	look_check/_archive/w2/scene13/v7_pt	w2	round	46193972	free round (W2-ladder, role=baseline-pt(judged), cited_by=28) - not pinned by valset.py / regr-chain / BoR stamp / anchor
