old	new	wave	kind	size_bytes	reason
look_check/sceneC1/r3_pt	look_check/_archive/w2/sceneC1/r3_pt	w2	round	6433621	free round (W2-P3/P4, role=early-iter, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC1/r4	look_check/_archive/w2/sceneC1/r4	w2	round	29065089	free round (W2-P3/P4, role=early-iter, cited_by=19) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC1/r4_pt	look_check/_archive/w2/sceneC1/r4_pt	w2	round	6403105	free round (W2-P3/P4, role=early-iter, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC2/260731_w3_full	look_check/_archive/w3/sceneC2/260731_w3_full	w3	round	68561651	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC2/260806_w3_allview4	look_check/_archive/w3fix/sceneC2/260806_w3_allview4	w3fix	round	21998180	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC2/260806_w3_allview5	look_check/_archive/w3fix/sceneC2/260806_w3_allview5	w3fix	round	22059884	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC4/260731_w3_full	look_check/_archive/w3/sceneC4/260731_w3_full	w3	round	53548530	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC4/260806_w3_allview4	look_check/_archive/w3fix/sceneC4/260806_w3_allview4	w3fix	round	14902745	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC4/260806_w3_allview5	look_check/_archive/w3fix/sceneC4/260806_w3_allview5	w3fix	round	16526791	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC4/260806_w3_fixqueue2	look_check/_archive/w3fix/sceneC4/260806_w3_fixqueue2	w3fix	round	57140503	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC4/ctx1_pt	look_check/_archive/w2/sceneC4/ctx1_pt	w2	round	11517454	free round (W2-ctx, role=ctx-corpus, cited_by=1) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneC4/ctx2_pt	look_check/_archive/w2/sceneC4/ctx2_pt	w2	round	11504997	free round (W2-ctx, role=ctx-corpus, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD1/260731_w3_full	look_check/_archive/w3/sceneD1/260731_w3_full	w3	round	55213921	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD1/260806_w3_allview4	look_check/_archive/w3fix/sceneD1/260806_w3_allview4	w3fix	round	14848511	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD1/260806_w3_allview5	look_check/_archive/w3fix/sceneD1/260806_w3_allview5	w3fix	round	14846158	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/260731_w3_full	look_check/_archive/w3/sceneD2/260731_w3_full	w3	round	57082077	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/260806_w3_allview4	look_check/_archive/w3fix/sceneD2/260806_w3_allview4	w3fix	round	17980828	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/260806_w3_allview5	look_check/_archive/w3fix/sceneD2/260806_w3_allview5	w3fix	round	17981822	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/r1	look_check/_archive/w2/sceneD2/r1	w2	round	61539432	free round (W2-P3/P4, role=early-iter, cited_by=84) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/r1_pt	look_check/_archive/w2/sceneD2/r1_pt	w2	round	59582485	free round (W2-P3/P4, role=early-iter, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/r2	look_check/_archive/w2/sceneD2/r2	w2	round	61484909	free round (W2-P3/P4, role=early-iter, cited_by=88) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD2/r2_pt	look_check/_archive/w2/sceneD2/r2_pt	w2	round	59623893	free round (W2-P3/P4, role=early-iter, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
