epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score,val_spread,vgconst_pass,sel_f1,sel_fa,sel_h_hits,sel_n_H,sel_beta,sel_H_hat,val_frame_fa_all,val_frame_fa_d,val_loss_masked
1,0.300636,0.461641,0.305979,0.253415,0.064864,3.000e-04,44.76,0.080645,0.181815,9.964085e-01,1,0.344763,0.010354,12,90,0.750000,0.141304,0.355769,0.102273,0.363898
2,0.244856,0.478210,0.388026,0.405055,0.109883,2.980e-04,44.74,0.231183,0.354343,9.825495e-01,1,0.432133,0.030864,33,90,0.750000,0.369565,0.229167,0.083333,0.403642
3,0.196953,0.575029,0.089571,0.047814,0.003188,2.960e-04,44.78,0.021505,0.067096,9.722633e-01,1,0.105342,0.000000,4,90,0.750000,0.054348,0.025641,0.000000,0.430449
4,0.169750,0.442949,0.243062,0.173497,0.040897,2.940e-04,44.89,0.059140,0.139412,9.500214e-01,1,0.279302,0.003783,8,90,0.750000,0.097826,0.083333,0.018939,0.351286
5,0.144407,0.459755,0.364956,0.377732,0.111423,2.920e-04,44.69,0.166667,0.273674,9.955240e-01,1,0.392486,0.011947,22,90,0.750000,0.250000,0.290064,0.030303,0.398853
6,0.124284,0.412524,0.108344,0.059426,0.006047,2.900e-04,44.56,0.043011,0.079820,8.883433e-01,1,0.123628,0.000000,5,90,0.750000,0.065217,0.068910,0.000000,0.357308
7,0.112848,0.421320,0.339132,0.289617,0.067337,2.880e-04,44.51,0.118280,0.194195,9.966606e-01,1,0.368797,0.003982,12,90,0.750000,0.141304,0.286859,0.041667,0.349841
8,0.095171,0.710365,0.315533,0.354167,0.143360,2.860e-04,44.63,0.134409,0.228182,9.998931e-01,1,0.345779,0.021306,19,90,0.750000,0.217391,0.272436,0.083333,0.582909
9,0.090022,0.480681,0.304480,0.239071,0.053320,2.840e-04,44.47,0.048387,0.152198,9.967348e-01,1,0.342395,0.006770,8,90,0.750000,0.097826,0.185897,0.056818,0.388565
10,0.066690,0.444937,0.258119,0.207650,0.064589,2.820e-04,44.53,0.166667,0.310269,9.993884e-01,1,0.288301,0.006372,29,90,0.750000,0.326087,0.269231,0.041667,0.368151
11,0.063669,0.509092,0.265632,0.216189,0.066238,2.800e-04,44.43,0.080645,0.132754,9.984388e-01,1,0.301304,0.024094,9,90,0.750000,0.108696,0.243590,0.094697,0.422886
12,0.052456,0.579702,0.376141,0.380123,0.103177,2.780e-04,44.52,0.091398,0.175535,9.998531e-01,1,0.411194,0.025090,11,90,0.750000,0.130435,0.323718,0.075758,0.467086
13,0.048721,0.551832,0.188619,0.120560,0.025396,2.760e-04,44.50,0.080645,0.183896,9.994961e-01,1,0.216233,0.000597,15,90,0.750000,0.173913,0.157051,0.011364,0.439882
14,0.075889,0.530593,0.213062,0.157104,0.051121,2.740e-04,44.31,0.080645,0.160695,9.986438e-01,1,0.237983,0.004779,12,90,0.750000,0.141304,0.237179,0.037879,0.434485
15,0.040002,0.475181,0.348414,0.290642,0.060796,2.720e-04,44.47,0.069892,0.173350,9.986491e-01,1,0.390413,0.005775,9,90,0.750000,0.108696,0.267628,0.049242,0.381677
16,0.037433,0.575375,0.358754,0.298839,0.059092,2.700e-04,44.43,0.086022,0.203145,9.998328e-01,1,0.403051,0.011748,13,90,0.750000,0.152174,0.262821,0.075758,0.447685
17,0.033649,0.522129,0.259429,0.173839,0.026770,2.680e-04,44.55,0.043011,0.145324,9.991273e-01,1,0.294987,0.001792,8,90,0.750000,0.097826,0.169872,0.015152,0.414254
