scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene18,L7__s20260819__0005.png,V,True,,20,0.017306,0.014914,0.0023919999999999983,0.017306,0.014914,0.0023919999999999983,0.005592,0.003645,0.001947,0.003438,0.00203,0.001408,0.017306,0.014914,0.0023919999999999983,0.011777,0.013203,-0.0014260000000000002
scene18,L7__s20260819__0006.png,E,True,,10,0.007903,0.002351,0.0055520000000000005,0.007903,0.002351,0.0055520000000000005,nan,nan,nan,nan,nan,nan,0.007903,0.002351,0.0055520000000000005,0.006583,0.001813,0.00477
scene18,L7__s20260819__0007.png,E,True,,4,0.008213,0.004146,0.0040669999999999994,0.015961,0.004146,0.011814999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008213,0.004146,0.0040669999999999994
scene18,L7__s20260820__0000.png::boost_e,E,True,,5,0.017836,0.010357,0.007479000000000001,0.017836,0.010357,0.007479000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.017836,0.010357,0.007479000000000001
scene18,L7__s20260820__0001.png::boost_e,E,True,,4,0.007991,0.004414,0.0035769999999999995,0.008622,0.004414,0.004207999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007991,0.004414,0.0035769999999999995
scene18,L7__s20260820__0002.png::boost_e,V,True,,9,0.007007,0.006293,0.0007140000000000002,0.007007,0.006293,0.0007140000000000002,nan,nan,nan,nan,nan,nan,0.000685,0.000912,-0.0002270000000000001,0.007007,0.006293,0.0007140000000000002
scene18,L7__s20260820__0003.png::boost_e,V,True,,5,0.009263,0.009419,-0.0001559999999999999,0.009263,0.009419,-0.0001559999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009263,0.009419,-0.0001559999999999999
scene18,L7__s20260820__0004.png::boost_e,E,True,,5,0.008782,0.00371,0.005072,0.008782,0.00371,0.005072,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008782,0.00371,0.005072
scene18,L7__s20260820__0005.png::boost_e,V,True,,10,0.020033,0.013006,0.0070269999999999985,0.020033,0.013006,0.0070269999999999985,nan,nan,nan,nan,nan,nan,0.000715,0.001539,-0.000824,0.020033,0.013006,0.0070269999999999985
scene18,L7__s20260820__0006.png::boost_e,V,True,,10,0.008723,0.005255,0.0034679999999999997,0.008723,0.005255,0.0034679999999999997,nan,nan,nan,nan,nan,nan,0.000501,0.001852,-0.0013509999999999998,0.008723,0.005255,0.0034679999999999997
scene18,L7__s20260820__0007.png::boost_e,E,True,,5,0.013541,0.009446,0.004095,0.013541,0.009446,0.004095,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013541,0.009446,0.004095
scene18,L7__s20260821__0000.png::boost_e2,E,True,,10,0.096224,0.010545,0.085679,0.096224,0.010545,0.085679,nan,nan,nan,nan,nan,nan,0.019364,0.001226,0.018137999999999998,0.096224,0.010545,0.085679
scene18,L7__s20260821__0001.png::boost_e2,E,True,,15,0.007507,0.013856,-0.0063490000000000005,0.007507,0.015113,-0.007606,nan,nan,nan,0.002274,0.007316,-0.005042,0.00206,0.004959,-0.0028989999999999997,0.007507,0.013856,-0.0063490000000000005
scene18,L7__s20260821__0002.png::boost_e2,E,True,,10,0.075458,0.035302,0.040156,0.075458,0.035302,0.040156,nan,nan,nan,nan,nan,nan,0.075458,0.035302,0.040156,0.075414,0.010261,0.06515299999999999
scene18,L7__s20260821__0003.png::boost_e2,E,True,,5,0.023134,0.012806,0.010327999999999999,0.023134,0.012806,0.010327999999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023134,0.012806,0.010327999999999999
scene18,L7__s20260821__0004.png::boost_e2,E,True,,10,0.02953,0.015542,0.013988,0.02953,0.015542,0.013988,nan,nan,nan,nan,nan,nan,0.021291,0.012588,0.008703,0.02953,0.015542,0.013988
scene18,L7__s20260821__0005.png::boost_e2,E,True,,10,0.027707,0.002451,0.025256,0.027707,0.002701,0.025006,nan,nan,nan,nan,nan,nan,0.027707,0.002139,0.025568,0.02667,0.002451,0.024218999999999997
scene18,L7__s20260821__0006.png::boost_e2,E,True,,9,0.011887,0.006345,0.005542,0.011887,0.006345,0.005542,nan,nan,nan,nan,nan,nan,0.001285,0.001848,-0.0005630000000000001,0.011887,0.006345,0.005542
scene18,L7__s20260821__0007.png::boost_e2,E,True,,10,0.080316,0.003732,0.076584,0.080316,0.003732,0.076584,nan,nan,nan,nan,nan,nan,0.049286,0.001341,0.047945,0.080316,0.003732,0.076584
sceneC2,L2__s20260819__0000.png,V,True,,12,0.564479,0.080664,0.48381499999999994,0.564479,0.080664,0.48381499999999994,nan,nan,nan,0.002923,0.005487,-0.002564,0.087627,0.028221,0.059406,0.564479,0.080664,0.48381499999999994
sceneC2,L2__s20260819__0001.png,V,True,,6,0.06689,0.013615,0.053275,0.06689,0.013615,0.053275,nan,nan,nan,nan,nan,nan,0.006444,0.000665,0.005779,0.06689,0.013615,0.053275
sceneC2,L2__s20260819__0002.png,V,True,,2,0.15329,0.043681,0.10960900000000001,0.15329,0.043681,0.10960900000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.15329,0.043681,0.10960900000000001
sceneC2,L2__s20260819__0003.png,V,True,,15,0.207098,0.078953,0.128145,0.207098,0.078953,0.128145,nan,nan,nan,0.002919,0.00805,-0.005131,0.019642,0.027322,-0.007679999999999999,0.207098,0.078953,0.128145
sceneC2,L2__s20260819__0004.png,V,True,,13,0.744728,0.160523,0.584205,0.744728,0.160523,0.584205,nan,nan,nan,0.002058,0.000615,0.0014429999999999998,0.171984,0.003497,0.168487,0.744728,0.160523,0.584205
sceneC2,L2__s20260819__0005.png,V,True,,8,0.218372,0.289226,-0.07085399999999997,0.218372,0.289226,-0.07085399999999997,nan,nan,nan,nan,nan,nan,0.155519,0.051385,0.10413399999999999,0.218372,0.289226,-0.07085399999999997
sceneC2,L2__s20260819__0006.png,V,True,,8,0.823664,0.032325,0.7913389999999999,0.823664,0.032325,0.7913389999999999,nan,nan,nan,nan,nan,nan,0.112648,0.000434,0.112214,0.823664,0.032325,0.7913389999999999
sceneC2,L2__s20260819__0007.png,V,True,,15,0.88264,0.022794,0.859846,0.88264,0.022794,0.859846,nan,nan,nan,0.036158,0.000127,0.036031,0.276526,0.001846,0.27468,0.88264,0.022794,0.859846
sceneC2,L3__s20260819__0000.png,V,True,,12,0.444802,0.070006,0.37479599999999996,0.444802,0.070006,0.37479599999999996,nan,nan,nan,0.00136,0.003301,-0.001941,0.056784,0.018672,0.038112,0.444802,0.070006,0.37479599999999996
sceneC2,L3__s20260819__0001.png,V,True,,6,0.071539,0.01733,0.05420900000000001,0.071539,0.01733,0.05420900000000001,nan,nan,nan,nan,nan,nan,0.004735,0.000659,0.004076,0.071539,0.01733,0.05420900000000001
sceneC2,L3__s20260819__0002.png,V,True,,2,0.188488,0.040649,0.147839,0.188488,0.040649,0.147839,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.188488,0.040649,0.147839
sceneC2,L3__s20260819__0003.png,V,True,,15,0.178258,0.063525,0.114733,0.178258,0.063525,0.114733,nan,nan,nan,0.001947,0.010191,-0.008244000000000001,0.013608,0.037015,-0.023406999999999997,0.178258,0.063525,0.114733
sceneC2,L3__s20260819__0004.png,V,True,,13,0.776581,0.158786,0.617795,0.776581,0.158786,0.617795,nan,nan,nan,0.002779,0.000611,0.002168,0.195709,0.003152,0.192557,0.776581,0.158786,0.617795
sceneC2,L3__s20260819__0005.png,V,True,,8,0.187482,0.301268,-0.11378599999999997,0.187482,0.301268,-0.11378599999999997,nan,nan,nan,nan,nan,nan,0.143157,0.045825,0.097332,0.187482,0.301268,-0.11378599999999997
sceneC2,L3__s20260819__0006.png,V,True,,8,0.81427,0.036975,0.7772950000000001,0.81427,0.036975,0.7772950000000001,nan,nan,nan,nan,nan,nan,0.127088,0.000443,0.126645,0.81427,0.036975,0.7772950000000001
