epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,888.044,1.10211,0.85517,1.12246,0.30543,0.54728,0.37529,0.2155,0.97793,1.56775,0.87797,0.000581,0.000581,0.000581
45,908.268,1.04971,0.83194,1.10584,0.34717,0.50591,0.38416,0.22333,0.93937,2.19777,0.81021,0.000548,0.000548,0.000548
46,927.699,1.02006,0.80157,1.09399,0.40925,0.50591,0.41981,0.24638,0.96931,2.48196,0.86112,0.000515,0.000515,0.000515
47,948.162,1.03865,0.80613,1.09426,0.30443,0.55083,0.36959,0.22225,0.93131,2.04662,0.79972,0.000482,0.000482,0.000482
48,967.39,1.00597,0.77691,1.0911,0.32468,0.52955,0.3868,0.23025,0.93627,3.31314,0.79224,0.000449,0.000449,0.000449
49,987.368,1.01708,0.83172,1.09239,0.35706,0.54137,0.39896,0.238,0.93977,1.78533,0.80345,0.000416,0.000416,0.000416
50,1007.74,0.98319,0.77012,1.06985,0.30114,0.5591,0.37332,0.2105,0.94811,2.23029,0.82361,0.000383,0.000383,0.000383
51,1029.44,0.95818,0.73678,1.10659,0.36432,0.5331,0.40846,0.2201,0.99125,1.9196,0.84636,0.00035,0.00035,0.00035
52,1049.32,0.89738,0.65406,1.0512,0.35705,0.54965,0.39937,0.23243,0.91322,1.59065,0.8047,0.000317,0.000317,0.000317
53,1068.6,0.88347,0.64706,1.05184,0.37128,0.5331,0.41164,0.24665,0.95503,1.44297,0.83514,0.000284,0.000284,0.000284
54,1088.14,0.85908,0.66195,1.03852,0.37003,0.54728,0.42428,0.25663,0.93879,1.3588,0.83009,0.000251,0.000251,0.000251
55,1108,0.84649,0.63305,1.04222,0.34599,0.51655,0.39907,0.23068,0.93404,1.4715,0.83038,0.000218,0.000218,0.000218
56,1127.64,0.83591,0.62864,1.03785,0.37127,0.50591,0.42142,0.25514,0.93912,1.38935,0.83273,0.000185,0.000185,0.000185
57,1148.15,0.81622,0.59226,1.02009,0.33702,0.52128,0.40821,0.2468,0.96764,1.43217,0.86071,0.000152,0.000152,0.000152
58,1166.92,0.79814,0.58887,1.00808,0.34482,0.53073,0.41829,0.24698,0.9653,1.38785,0.86701,0.000119,0.000119,0.000119
59,1186.44,0.80289,0.61527,1.01808,0.34904,0.50956,0.42254,0.25514,0.95424,1.39274,0.86407,8.6e-05,8.6e-05,8.6e-05
60,1205.74,0.7853,0.60888,1.0058,0.33175,0.52128,0.4049,0.24415,0.96335,1.37739,0.87909,5.3e-05,5.3e-05,5.3e-05
