label_set,stem,scene,model,leg,pair,n_paired,verdict,folded,d_cue_mean,sign_class,placebo_ratio,placebo_grade
twin,260823_cueoff,scene12,depth,secondary,A_vs_B1,0,VOID,False,nan,EMPTY,0.089,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff,scene12,b2,primary,A_vs_B2,0,VOID,False,nan,EMPTY,0.578,ANTI-CONSERVATIVE
twin,260823_cueoff,scene12,b2,primary-twinconditional,A_vs_B2,0,VOID,False,nan,EMPTY,,
twin,260823_cueoff,scene12,b2,secondary,A_vs_B1,0,VOID,False,nan,EMPTY,0.089,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff,scene17,rgb,primary,A_vs_B1,24,UNDECIDED,True,0.1111,SAME-SIGN,0.555,ANTI-CONSERVATIVE
twin,260823_cueoff,scene17,rgb,primary-twinconditional,A_vs_B1,24,SHORTCUT,True,0.0833,SAME-SIGN,,
twin,260823_cueoff,scene17,depth,primary,A_vs_B1,24,NO-EFFECT,True,0.0,NO-EFFECT,0.555,ANTI-CONSERVATIVE
twin,260823_cueoff,scene17,depth,primary-twinconditional,A_vs_B1,24,NO-EFFECT,True,0.0,NO-EFFECT,,
twin,260823_cueoff,scene17,b2,primary,A_vs_B1,24,NO-EFFECT,True,0.0,NO-EFFECT,0.555,ANTI-CONSERVATIVE
twin,260823_cueoff,scene17,b2,primary-twinconditional,A_vs_B1,24,NO-EFFECT,True,0.0,NO-EFFECT,,
twin,260823_cueoff,scene20,rgb,primary,A_vs_B2,6,VOID,True,0.2222,SAME-SIGN,0.909,MATCHED
twin,260823_cueoff,scene20,rgb,primary-twinconditional,A_vs_B2,6,VOID,True,0.2222,SAME-SIGN,,
twin,260823_cueoff,scene20,rgb,secondary,A_vs_B1,6,VOID,True,0.9444,SAME-SIGN,0.235,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff,scene20,depth,primary,A_vs_B2,6,VOID,True,0.0,NO-EFFECT,0.909,MATCHED
twin,260823_cueoff,scene20,depth,primary-twinconditional,A_vs_B2,6,VOID,True,0.0,NO-EFFECT,,
twin,260823_cueoff,scene20,depth,secondary,A_vs_B1,6,VOID,True,0.0,NO-EFFECT,0.235,SEVERELY ANTI-CONSERVATIVE
twin,260823_cueoff,scene20,b2,primary,A_vs_B2,6,VOID,True,0.7778,SAME-SIGN,0.909,MATCHED
twin,260823_cueoff,scene20,b2,primary-twinconditional,A_vs_B2,6,VOID,True,0.7778,SAME-SIGN,,
